structural_interval_id	species1	species2	shared_anchor_count	order_concordance	orientation_concordance	overall_similarity	same_normalized_state
SI_Stork_01	Stork	Flamingo	0	0	0	0	false
SI_Stork_01	Stork	Dove	1	1	1	1	true
SI_Stork_01	Stork	Sandgrouse	1	1	1	1	true
SI_Stork_01	Stork	Turaco	1	1	1	1	true
SI_Stork_01	Stork	Cuckoo	0	0	0	0	false
SI_Stork_01	Flamingo	Dove	0	0	0	0	false
SI_Stork_01	Flamingo	Sandgrouse	0	0	0	0	false
SI_Stork_01	Flamingo	Turaco	0	0	0	0	false
SI_Stork_01	Flamingo	Cuckoo	0	0	0	0	false
SI_Stork_01	Dove	Sandgrouse	1	1	1	1	true
SI_Stork_01	Dove	Turaco	1	1	1	1	true
SI_Stork_01	Dove	Cuckoo	0	0	0	0	false
SI_Stork_01	Sandgrouse	Turaco	1	1	1	1	true
SI_Stork_01	Sandgrouse	Cuckoo	0	0	0	0	false
SI_Stork_01	Turaco	Cuckoo	0	0	0	0	false
SI_Stork_02	Stork	Flamingo	1	1	0	0.5	false
SI_Stork_02	Stork	Dove	1	1	1	1	true
SI_Stork_02	Stork	Sandgrouse	1	1	1	1	true
SI_Stork_02	Stork	Turaco	1	1	1	1	true
SI_Stork_02	Stork	Cuckoo	1	1	0	0.5	false
SI_Stork_02	Flamingo	Dove	1	1	0	0.5	false
SI_Stork_02	Flamingo	Sandgrouse	1	1	0	0.5	false
SI_Stork_02	Flamingo	Turaco	1	1	0	0.5	false
SI_Stork_02	Flamingo	Cuckoo	1	1	1	1	true
SI_Stork_02	Dove	Sandgrouse	1	1	1	1	true
SI_Stork_02	Dove	Turaco	1	1	1	1	true
SI_Stork_02	Dove	Cuckoo	1	1	0	0.5	false
SI_Stork_02	Sandgrouse	Turaco	1	1	1	1	true
SI_Stork_02	Sandgrouse	Cuckoo	1	1	0	0.5	false
SI_Stork_02	Turaco	Cuckoo	1	1	0	0.5	false
SI_Stork_03	Stork	Flamingo	0	0	0	0	false
SI_Stork_03	Stork	Dove	0	0	0	0	false
SI_Stork_03	Stork	Sandgrouse	1	1	1	1	true
SI_Stork_03	Stork	Turaco	1	1	1	1	true
SI_Stork_03	Stork	Cuckoo	0	0	0	0	false
SI_Stork_03	Flamingo	Dove	0	0	0	0	false
SI_Stork_03	Flamingo	Sandgrouse	0	0	0	0	false
SI_Stork_03	Flamingo	Turaco	0	0	0	0	false
SI_Stork_03	Flamingo	Cuckoo	0	0	0	0	false
SI_Stork_03	Dove	Sandgrouse	0	0	0	0	false
SI_Stork_03	Dove	Turaco	0	0	0	0	false
SI_Stork_03	Dove	Cuckoo	0	0	0	0	false
SI_Stork_03	Sandgrouse	Turaco	1	1	1	1	true
SI_Stork_03	Sandgrouse	Cuckoo	0	0	0	0	false
SI_Stork_03	Turaco	Cuckoo	0	0	0	0	false
SI_Stork_04	Stork	Flamingo	3	0.333333333333	0.333333333333	0.333333333333	false
SI_Stork_04	Stork	Dove	2	0.5	1	0.75	false
SI_Stork_04	Stork	Sandgrouse	3	0.333333333333	0.666666666667	0.5	false
SI_Stork_04	Stork	Turaco	3	0	1	0.5	false
SI_Stork_04	Stork	Cuckoo	3	0.333333333333	0.666666666667	0.5	false
SI_Stork_04	Flamingo	Dove	3	0	0	0	false
SI_Stork_04	Flamingo	Sandgrouse	4	0	0.5	0.25	false
SI_Stork_04	Flamingo	Turaco	4	0.25	0.25	0.25	false
SI_Stork_04	Flamingo	Cuckoo	4	0.5	0.5	0.5	false
SI_Stork_04	Dove	Sandgrouse	3	0	0.666666666667	0.333333333333	false
SI_Stork_04	Dove	Turaco	3	0	1	0.5	false
SI_Stork_04	Dove	Cuckoo	3	0	0.666666666667	0.333333333333	false
SI_Stork_04	Sandgrouse	Turaco	4	0.25	0.75	0.5	false
SI_Stork_04	Sandgrouse	Cuckoo	4	0.25	1	0.625	false
SI_Stork_04	Turaco	Cuckoo	4	0.5	0.75	0.625	false
SI_Stork_05	Stork	Flamingo	2	1	0	0.5	false
SI_Stork_05	Stork	Dove	2	0	1	0.5	false
SI_Stork_05	Stork	Sandgrouse	2	0	0.5	0.25	false
SI_Stork_05	Stork	Turaco	2	0	1	0.5	false
SI_Stork_05	Stork	Cuckoo	2	1	0.5	0.75	false
SI_Stork_05	Flamingo	Dove	2	0	0	0	false
SI_Stork_05	Flamingo	Sandgrouse	2	0	0.5	0.25	false
SI_Stork_05	Flamingo	Turaco	2	0	0	0	false
SI_Stork_05	Flamingo	Cuckoo	2	1	0.5	0.75	false
SI_Stork_05	Dove	Sandgrouse	2	0.5	0.5	0.5	false
SI_Stork_05	Dove	Turaco	2	1	1	1	true
SI_Stork_05	Dove	Cuckoo	2	0	0.5	0.25	false
