structural_set	clade	genealogy_method	n_genealogy_change_points	n_structural_breakpoints	mean_nearest_bp	median_nearest_bp	observed_mean_nearest_bp	null_mean_nearest_bp	null_median_nearest_bp	observed_to_null_ratio	frac_within_50kb	frac_within_100kb	frac_within_250kb	frac_within_500kb	enrichment_50kb	enrichment_100kb	enrichment_250kb	enrichment_500kb	circular_shift_pvalue
primary	Columbea	rolling	22	26	549494.772727	465274.5	549494.772727	5609552.32448	4941642.5	0.0979569742722	0	0.0454545454545	0.272727272727	0.5	0	0.790139064475	1.96772924046	2.03828265421	0.029597040296
primary	N61	rolling	26	26	865346.846154	449106	865346.846154	5557984.50873	3309503.96154	0.155694360931	0.115384615385	0.192307692308	0.269230769231	0.5	3.99946673777	3.33311112592	1.94142445085	2.02909408753	0.0595940405959
primary	N62	rolling	19	26	686847.789474	448019	686847.789474	5535325.38495	5855983.97368	0.124084447021	0	0	0.210526315789	0.526315789474	0	0	1.52969520823	2.14128177127	0.024097590241
primary	pooled	rolling	67	26	711015.089552	448019	711015.089552	5618640.99829	5143188.51493	0.12654574118	0.044776119403	0.089552238806	0.253731343284	0.507462686567	1.5600624025	1.56449636255	1.83240994244	2.0591708809	0.023397660234
stringent	Columbea	rolling	22	16	867990.454545	762530	867990.454545	6607570.12781	5793949.68182	0.131363033272	0	0.0454545454545	0.136363636364	0.318181818182	0	1.26167045168	1.5423371549	1.86532363365	0.032396760324
stringent	N61	rolling	26	16	1153364.65385	787329.5	1153364.65385	6675419.91514	4498381.46154	0.172777842968	0.0769230769231	0.115384615385	0.192307692308	0.346153846154	4.36681222707	3.22997416021	2.22182723071	2.07459314923	0.042495750425
stringent	N62	rolling	19	16	1266210.15789	888019	1266210.15789	6610293.38131	7290427.05263	0.191551279929	0	0	0.157894736842	0.421052631579	0	0	1.79672995149	2.48400919083	0.0698930106989
stringent	pooled	rolling	67	16	1091660.65672	818019	1091660.65672	6603125.17887	6172316.64925	0.165324846515	0.0298507462687	0.0597014925373	0.164179104478	0.358208955224	1.63719711853	1.66993695988	1.87358416651	2.1289052105	0.028197180282
inclusive	Columbea	rolling	22	43	419356.090909	327469	419356.090909	5289114.10954	4532790.5	0.0792866408673	0	0.0909090909091	0.5	0.590909090909	0	0.962834585018	2.35722704382	1.70464976004	0.02299770023
inclusive	N61	rolling	26	43	817440.115385	395000	817440.115385	5272692.82757	3055947.34615	0.155032758804	0.153846153846	0.307692307692	0.461538461538	0.5	3.22919189473	3.28420706926	2.17667331761	1.43464106384	0.148485151485
inclusive	N62	rolling	19	43	617580.578947	387451	617580.578947	5164919.52391	5657534.36842	0.11957215908	0.0526315789474	0.105263157895	0.368421052632	0.578947368421	1.09709270433	1.11141983884	1.71434169279	1.64387655981	0.0508949105089
inclusive	pooled	rolling	67	43	630049.373134	387451	630049.373134	5200028.18011	4681719.35821	0.121162684376	0.0746268656716	0.179104477612	0.44776119403	0.55223880597	1.55675944953	1.89202825429	2.08536076741	1.57640001363	0.01799820018
