clade	window_loci	merge_distance_bp	n_change_points	mean_nearest_bp	circular_shift_pvalue	enrichment_100kb	enrichment_250kb
Columbea	25	100000	30	1806760.4	0.00919908009199	1.73570932654	1.43757337614
N61	25	100000	35	1559436.02857	0.15198480152	1.46470071282	1.82626164242
N62	25	100000	22	1431237.63636	0.0973902609739	2.39884855269	1.65892501659
pooled	25	100000	87	1612302.31034	0.00889911008899	1.79375772312	1.64577898834
Columbea	25	200000	27	1931128.62963	0.00989901009899	1.29032258065	1.33897488083
N61	25	200000	25	1547165.76	0.130086991301	0.686294694942	1.43086080586
N62	25	200000	18	1683822.66667	0.14598540146	2.87218764959	1.59216654062
pooled	25	200000	70	1730406.07143	0.00929907009299	1.47579693034	1.43732739238
Columbea	25	500000	21	1724001.71429	0.00789921007899	0	1.02993683054
N61	25	500000	19	1743005.89474	0.166383361664	0.897504936277	1.87448451676
N62	25	500000	16	1863280.8125	0.161283871613	2.12336766111	1.32866823154
pooled	25	500000	56	1770243.58929	0.00759924007599	0.934608554784	1.42282469506
Columbea	50	100000	33	516812.787879	0.028397160284	1.05697072191	1.98168046503
N61	50	100000	34	975333.382353	0.0713928607139	2.03572700901	1.6950589033
N62	50	100000	26	757874.384615	0.028397160284	0.666355700673	1.38400642179
pooled	50	100000	93	751837.537634	0.027697230277	1.32050556499	1.70277319835
Columbea	50	200000	22	549494.772727	0.027597240276	0.797003267713	1.96136118466
N61	50	200000	26	865346.846154	0.0609939006099	3.3802055165	1.95258019526
N62	50	200000	19	686847.789474	0.029697030297	0	1.51143019082
pooled	50	200000	67	711015.089552	0.023097690231	1.55359917141	1.82307585068
Columbea	50	500000	15	518281.733333	0.024397560244	1.15141047784	1.90766882869
N61	50	500000	16	843201.625	0.0588941105889	1.06746370623	0.897384125275
N62	50	500000	14	749435	0.028697130287	0	1.01486781347
pooled	50	500000	45	705723.155556	0.017298270173	0.773096250483	1.28949065119
Columbea	100	100000	51	708121.627451	0.034596540346	2.05282605721	1.85182547257
N61	100	100000	48	724687	0.034096590341	2.5873221216	1.97995674556
N62	100	100000	49	712482.367347	0.034896510349	2.12735782159	1.91055655982
pooled	100	100000	148	714937.939189	0.032896710329	2.24857393074	1.91065015996
Columbea	100	200000	33	700614.121212	0.03799620038	2.09995800084	1.52422427872
N61	100	200000	32	718980.84375	0.0299970003	2.69599913728	1.8071744827
N62	100	200000	32	645512	0.030696930307	2.66240681576	2.21194894822
pooled	100	200000	97	688495.226804	0.029497050295	2.48946423173	1.84650382965
Columbea	100	500000	18	605057.388889	0.030096990301	0.95020904599	1.19426751592
N61	100	500000	19	706478.842105	0.030196980302	2.68648697054	1.87055742611
N62	100	500000	18	652528.388889	0.030596940306	1.93068829038	2.01661692345
pooled	100	500000	55	655629.854545	0.032196780322	1.87764043186	1.71167493976
