segment_id	structural_set	anchor_size	species	arrangement_state	informative_anchor_count	confidence
primary_SEG_001	primary	100000	Flamingo	AS1	1	low_informative_anchor_count
primary_SEG_001	primary	100000	Dove	AS2	0	low_informative_anchor_count
primary_SEG_001	primary	100000	Sandgrouse	AS3	0	low_informative_anchor_count
primary_SEG_001	primary	100000	Turaco	AS4	1	low_informative_anchor_count
primary_SEG_001	primary	100000	Cuckoo	AS5	0	low_informative_anchor_count
primary_SEG_001	primary	100000	Stork	AS6	1	low_informative_anchor_count
primary_SEG_002	primary	100000	Flamingo	AS1	13	high
primary_SEG_002	primary	100000	Stork	AS1	12	high
primary_SEG_002	primary	100000	Dove	AS2	24	high
primary_SEG_002	primary	100000	Sandgrouse	AS3	17	high
primary_SEG_002	primary	100000	Turaco	AS3	12	high
primary_SEG_002	primary	100000	Cuckoo	AS3	21	high
primary_SEG_003	primary	100000	Flamingo	AS1	1	low_informative_anchor_count
primary_SEG_003	primary	100000	Dove	AS2	3	low_informative_anchor_count
primary_SEG_003	primary	100000	Sandgrouse	AS3	4	low_informative_anchor_count
primary_SEG_003	primary	100000	Turaco	AS4	2	low_informative_anchor_count
primary_SEG_003	primary	100000	Cuckoo	AS5	2	low_informative_anchor_count
primary_SEG_003	primary	100000	Stork	AS6	2	low_informative_anchor_count
primary_SEG_004	primary	100000	Flamingo	AS1	16	high
primary_SEG_004	primary	100000	Stork	AS1	18	high
primary_SEG_004	primary	100000	Dove	AS2	20	high
primary_SEG_004	primary	100000	Sandgrouse	AS3	19	high
primary_SEG_004	primary	100000	Turaco	AS3	14	high
primary_SEG_004	primary	100000	Cuckoo	AS4	22	high
primary_SEG_005	primary	100000	Flamingo	AS1	11	high
primary_SEG_005	primary	100000	Sandgrouse	AS1	7	high
primary_SEG_005	primary	100000	Turaco	AS1	10	high
primary_SEG_005	primary	100000	Cuckoo	AS1	15	high
primary_SEG_005	primary	100000	Dove	AS2	10	high
primary_SEG_005	primary	100000	Stork	AS3	9	high
primary_SEG_006	primary	100000	Flamingo	AS1	2	short_segment_limited_anchors
primary_SEG_006	primary	100000	Turaco	AS1	1	short_segment_limited_anchors
primary_SEG_006	primary	100000	Stork	AS1	2	short_segment_limited_anchors
primary_SEG_006	primary	100000	Dove	AS2	2	short_segment_limited_anchors
primary_SEG_006	primary	100000	Sandgrouse	AS3	0	short_segment_limited_anchors
primary_SEG_006	primary	100000	Cuckoo	AS4	0	short_segment_limited_anchors
primary_SEG_007	primary	100000	Flamingo	AS1	17	high
primary_SEG_007	primary	100000	Cuckoo	AS1	10	high
primary_SEG_007	primary	100000	Dove	AS2	8	high
primary_SEG_007	primary	100000	Turaco	AS2	20	high
primary_SEG_007	primary	100000	Sandgrouse	AS3	14	high
primary_SEG_007	primary	100000	Stork	AS4	20	high
primary_SEG_008	primary	100000	Flamingo	AS1	7	high
primary_SEG_008	primary	100000	Sandgrouse	AS1	8	high
primary_SEG_008	primary	100000	Dove	AS2	6	high
primary_SEG_008	primary	100000	Turaco	AS3	3	low_informative_anchor_count
primary_SEG_008	primary	100000	Cuckoo	AS4	6	high
primary_SEG_008	primary	100000	Stork	AS4	8	high
primary_SEG_009	primary	100000	Flamingo	AS1	3	short_segment_limited_anchors
primary_SEG_009	primary	100000	Dove	AS1	3	short_segment_limited_anchors
primary_SEG_009	primary	100000	Cuckoo	AS1	1	short_segment_limited_anchors
primary_SEG_009	primary	100000	Stork	AS1	3	short_segment_limited_anchors
primary_SEG_009	primary	100000	Sandgrouse	AS2	3	short_segment_limited_anchors
primary_SEG_009	primary	100000	Turaco	AS2	3	short_segment_limited_anchors
primary_SEG_010	primary	100000	Flamingo	AS1	5	high
primary_SEG_010	primary	100000	Dove	AS2	5	high
primary_SEG_010	primary	100000	Sandgrouse	AS3	5	high
primary_SEG_010	primary	100000	Turaco	AS4	7	high
primary_SEG_010	primary	100000	Cuckoo	AS5	4	low_informative_anchor_count
primary_SEG_010	primary	100000	Stork	AS6	7	high
primary_SEG_011	primary	100000	Flamingo	AS1	9	high
primary_SEG_011	primary	100000	Turaco	AS1	5	high
primary_SEG_011	primary	100000	Stork	AS1	10	high
primary_SEG_011	primary	100000	Dove	AS2	7	high
primary_SEG_011	primary	100000	Sandgrouse	AS3	8	high
primary_SEG_011	primary	100000	Cuckoo	AS4	6	high
primary_SEG_012	primary	100000	Flamingo	AS1	4	low_informative_anchor_count
primary_SEG_012	primary	100000	Dove	AS2	1	low_informative_anchor_count
primary_SEG_012	primary	100000	Sandgrouse	AS3	4	low_informative_anchor_count
primary_SEG_012	primary	100000	Turaco	AS4	4	low_informative_anchor_count
primary_SEG_012	primary	100000	Cuckoo	AS5	3	low_informative_anchor_count
primary_SEG_012	primary	100000	Stork	AS6	2	low_informative_anchor_count
primary_SEG_013	primary	100000	Flamingo	AS1	5	high
primary_SEG_013	primary	100000	Sandgrouse	AS1	9	high
primary_SEG_013	primary	100000	Turaco	AS1	9	high
primary_SEG_013	primary	100000	Stork	AS1	9	high
primary_SEG_013	primary	100000	Dove	AS2	9	high
primary_SEG_013	primary	100000	Cuckoo	AS3	4	low_informative_anchor_count
primary_SEG_014	primary	100000	Flamingo	AS1	7	high
primary_SEG_014	primary	100000	Dove	AS2	10	high
primary_SEG_014	primary	100000	Sandgrouse	AS3	4	low_informative_anchor_count
primary_SEG_014	primary	100000	Turaco	AS4	4	low_informative_anchor_count
primary_SEG_014	primary	100000	Cuckoo	AS5	5	high
primary_SEG_014	primary	100000	Stork	AS6	8	high
primary_SEG_015	primary	100000	Flamingo	AS1	0	low_informative_anchor_count
primary_SEG_015	primary	100000	Dove	AS2	1	low_informative_anchor_count
primary_SEG_015	primary	100000	Sandgrouse	AS3	1	low_informative_anchor_count
primary_SEG_015	primary	100000	Turaco	AS4	3	low_informative_anchor_count
primary_SEG_015	primary	100000	Cuckoo	AS5	1	low_informative_anchor_count
primary_SEG_015	primary	100000	Stork	AS6	2	low_informative_anchor_count
primary_SEG_016	primary	100000	Flamingo	AS1	0	low_informative_anchor_count
primary_SEG_016	primary	100000	Dove	AS2	0	low_informative_anchor_count
primary_SEG_016	primary	100000	Sandgrouse	AS3	2	low_informative_anchor_count
primary_SEG_016	primary	100000	Turaco	AS4	0	low_informative_anchor_count
primary_SEG_016	primary	100000	Cuckoo	AS5	1	low_informative_anchor_count
primary_SEG_016	primary	100000	Stork	AS6	0	low_informative_anchor_count
primary_SEG_017	primary	100000	Flamingo	AS1	1	low_informative_anchor_count
primary_SEG_017	primary	100000	Dove	AS2	0	low_informative_anchor_count
primary_SEG_017	primary	100000	Sandgrouse	AS3	1	low_informative_anchor_count
primary_SEG_017	primary	100000	Turaco	AS4	1	low_informative_anchor_count
primary_SEG_017	primary	100000	Cuckoo	AS5	2	low_informative_anchor_count
primary_SEG_017	primary	100000	Stork	AS6	3	low_informative_anchor_count
primary_SEG_018	primary	100000	Flamingo	AS1	6	high
primary_SEG_018	primary	100000	Dove	AS2	4	low_informative_anchor_count
primary_SEG_018	primary	100000	Sandgrouse	AS3	6	high
primary_SEG_018	primary	100000	Turaco	AS4	3	low_informative_anchor_count
primary_SEG_018	primary	100000	Cuckoo	AS5	4	low_informative_anchor_count
primary_SEG_018	primary	100000	Stork	AS6	4	low_informative_anchor_count
primary_SEG_019	primary	100000	Flamingo	AS1	2	low_informative_anchor_count
primary_SEG_019	primary	100000	Sandgrouse	AS1	2	low_informative_anchor_count
primary_SEG_019	primary	100000	Turaco	AS1	1	low_informative_anchor_count
primary_SEG_019	primary	100000	Cuckoo	AS1	2	low_informative_anchor_count
primary_SEG_019	primary	100000	Stork	AS1	2	low_informative_anchor_count
primary_SEG_019	primary	100000	Dove	AS2	1	low_informative_anchor_count
primary_SEG_020	primary	100000	Flamingo	AS1	0	low_informative_anchor_count
primary_SEG_020	primary	100000	Dove	AS2	3	low_informative_anchor_count
primary_SEG_020	primary	100000	Sandgrouse	AS3	1	low_informative_anchor_count
primary_SEG_020	primary	100000	Turaco	AS4	4	low_informative_anchor_count
primary_SEG_020	primary	100000	Cuckoo	AS5	2	low_informative_anchor_count
primary_SEG_020	primary	100000	Stork	AS6	0	low_informative_anchor_count
primary_SEG_021	primary	100000	Flamingo	AS1	1	low_informative_anchor_count
primary_SEG_021	primary	100000	Dove	AS2	0	low_informative_anchor_count
primary_SEG_021	primary	100000	Sandgrouse	AS3	0	low_informative_anchor_count
primary_SEG_021	primary	100000	Turaco	AS4	2	low_informative_anchor_count
primary_SEG_021	primary	100000	Cuckoo	AS5	0	low_informative_anchor_count
primary_SEG_021	primary	100000	Stork	AS6	0	low_informative_anchor_count
primary_SEG_022	primary	100000	Flamingo	AS1	5	high
primary_SEG_022	primary	100000	Dove	AS2	5	high
