clade	structural_set	anchor_size	segment_id	start	end	n_loci	mean_q1	mean_q2	mean_q3	dominant_observed_topology
Columbea	primary	100000	primary_SEG_001	1	1949860	120	0.358125034412	0.371472484325	0.270402481263	q2
N61	primary	100000	primary_SEG_001	1	1949860	120	0.348554451965	0.301396551835	0.350048996201	q3
N62	primary	100000	primary_SEG_001	1	1949860	110	0.342718570335	0.339453337581	0.317828092084	q1
Columbea	primary	100000	primary_SEG_002	1949861	9504880	534	0.321358053078	0.354056702905	0.324585244017	q2
N61	primary	100000	primary_SEG_002	1949861	9504880	535	0.340727578893	0.323216705942	0.336055715165	q1
N62	primary	100000	primary_SEG_002	1949861	9504880	512	0.317706277954	0.357179121406	0.32511460064	q2
Columbea	primary	100000	primary_SEG_003	9504881	10974030	123	0.297241755479	0.368203215953	0.334555028568	q2
N61	primary	100000	primary_SEG_003	9504881	10974030	123	0.30125948929	0.346589905379	0.352150605331	q3
N62	primary	100000	primary_SEG_003	9504881	10974030	118	0.332167336378	0.337856257778	0.329976405844	q2
Columbea	primary	100000	primary_SEG_004	10974031	19760078	593	0.335910586647	0.342900548282	0.321188865071	q2
N61	primary	100000	primary_SEG_004	10974031	19760078	596	0.352276932859	0.316955335623	0.330767731519	q1
N62	primary	100000	primary_SEG_004	10974031	19760078	574	0.322685851707	0.333355903067	0.343958245226	q3
Columbea	primary	100000	primary_SEG_005	19760079	25213019	317	0.409697337187	0.315806794337	0.274495868476	q1
N61	primary	100000	primary_SEG_005	19760079	25213019	318	0.330374539492	0.375279074831	0.294346385677	q2
N62	primary	100000	primary_SEG_005	19760079	25213019	307	0.382378781801	0.321243185941	0.296378032258	q1
Columbea	primary	100000	primary_SEG_006	25213020	25559087	32	0.954907718121	0.013947147651	0.0311451342282	q1
N61	primary	100000	primary_SEG_006	25213020	25559087	32	0.04273915618	0.942443530965	0.0148173128551	q2
N62	primary	100000	primary_SEG_006	25213020	25559087	31	0.973035359978	0.00737407206001	0.0195905679615	q1
Columbea	primary	100000	primary_SEG_007	25559088	33234049	507	0.881765130615	0.0614157224178	0.0568191469667	q1
N61	primary	100000	primary_SEG_007	25559088	33234049	510	0.0839257173605	0.862855762408	0.0532185202319	q2
N62	primary	100000	primary_SEG_007	25559088	33234049	495	0.907927594466	0.0394117271095	0.0526606784249	q1
Columbea	primary	100000	primary_SEG_008	33234050	34021640	40	0.704848921528	0.164079648497	0.131071429975	q1
N61	primary	100000	primary_SEG_008	33234050	34021640	42	0.127544501885	0.684998642163	0.187456855952	q2
N62	primary	100000	primary_SEG_008	33234050	34021640	42	0.673797475868	0.14098194571	0.185220578422	q1
Columbea	primary	100000	primary_SEG_009	34021641	34232794	9	0.931553552794	0.0629859429457	0.00546050426071	q1
N61	primary	100000	primary_SEG_009	34021641	34232794	9	0.164153015195	0.812179745241	0.0236672395639	q2
N62	primary	100000	primary_SEG_009	34021641	34232794	8	0.891236257403	0.0646773692812	0.0440863733164	q1
Columbea	primary	100000	primary_SEG_010	34232795	35025837	43	0.491586949126	0.242246581003	0.266166469871	q1
N61	primary	100000	primary_SEG_010	34232795	35025837	43	0.232610821228	0.530349457254	0.237039721518	q2
N62	primary	100000	primary_SEG_010	34232795	35025837	37	0.535114098608	0.236037467741	0.228848433652	q1
