structural_interval_id	normalized_arrangement_state	species_members	n_species	n_shared_anchors	definition	anchor_order_signature	anchor_orientation_signature
SI_Stork_01	A0	Stork,Dove,Sandgrouse,Turaco	4	1	State A0 over SI_Stork_01 has 4 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Stork_01	A1	Flamingo	1	1	State A1 over SI_Stork_01 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Stork_01	A2	Cuckoo	1	1	State A2 over SI_Stork_01 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Stork_02	A0	Stork,Dove,Sandgrouse,Turaco	4	1	State A0 over SI_Stork_02 has 4 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Stork_02	A1	Flamingo,Cuckoo	2	1	State A1 over SI_Stork_02 has 2 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Stork_03	A0	Stork,Sandgrouse,Turaco	3	1	State A0 over SI_Stork_03 has 3 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Stork_03	A1	Flamingo	1	1	State A1 over SI_Stork_03 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Stork_03	A2	Dove	1	1	State A2 over SI_Stork_03 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Stork_03	A3	Cuckoo	1	1	State A3 over SI_Stork_03 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Stork_04	A0	Stork	1	5	State A0 over SI_Stork_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:M|3:M|4:Q1:2|5:Q1:1	1:+|2:?|3:?|4:+|5:+
SI_Stork_04	A1	Flamingo	1	5	State A1 over SI_Stork_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:M|3:Q1:4|4:Q1:3|5:Q1:1	1:+|2:?|3:-|4:-|5:-
SI_Stork_04	A2	Dove	1	5	State A2 over SI_Stork_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:M|2:M|3:Q1:1|4:Q1:2|5:Q1:3	1:?|2:?|3:+|4:+|5:+
SI_Stork_04	A3	Sandgrouse	1	5	State A3 over SI_Stork_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:M|3:Q1:2|4:Q1:1|5:Q2:1	1:+|2:?|3:+|4:+|5:-
SI_Stork_04	A4	Turaco	1	5	State A4 over SI_Stork_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1|2:Q1:4|3:Q1:2|4:Q1:3|5:Q1:5	1:+|2:+|3:+|4:+|5:+
SI_Stork_04	A5	Cuckoo	1	5	State A5 over SI_Stork_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:4|2:M|3:Q1:2|4:Q1:3|5:Q1:1	1:+|2:?|3:+|4:+|5:-
SI_Stork_05	A0	Stork	1	2	State A0 over SI_Stork_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:Q1:1	1:+|2:+
SI_Stork_05	A1	Flamingo	1	2	State A1 over SI_Stork_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:Q1:1	1:-|2:-
SI_Stork_05	A2	Dove,Turaco	2	2	State A2 over SI_Stork_05 has 2 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1|2:Q1:2	1:+|2:+
SI_Stork_05	A3	Sandgrouse	1	2	State A3 over SI_Stork_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1|2:Q2:1	1:+|2:-
SI_Stork_05	A4	Cuckoo	1	2	State A4 over SI_Stork_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:Q1:1	1:+|2:-
SI_Stork_06	A0	Stork,Dove,Turaco	3	1	State A0 over SI_Stork_06 has 3 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Stork_06	A1	Flamingo,Sandgrouse,Cuckoo	3	1	State A1 over SI_Stork_06 has 3 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Flamingo_01	A0	Stork,Dove,Sandgrouse,Turaco	4	1	State A0 over SI_Flamingo_01 has 4 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Flamingo_01	A1	Flamingo	1	1	State A1 over SI_Flamingo_01 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Flamingo_01	A2	Cuckoo	1	1	State A2 over SI_Flamingo_01 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Flamingo_02	A0	Stork,Dove,Sandgrouse,Turaco	4	1	State A0 over SI_Flamingo_02 has 4 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Flamingo_02	A1	Flamingo,Cuckoo	2	1	State A1 over SI_Flamingo_02 has 2 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Flamingo_03	A0	Stork,Sandgrouse,Turaco	3	1	State A0 over SI_Flamingo_03 has 3 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Flamingo_03	A1	Flamingo	1	1	State A1 over SI_Flamingo_03 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Flamingo_03	A2	Dove	1	1	State A2 over SI_Flamingo_03 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Flamingo_03	A3	Cuckoo	1	1	State A3 over SI_Flamingo_03 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Flamingo_04	A0	Stork	1	6	State A0 over SI_Flamingo_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:Q1:4|3:M|4:M|5:Q1:2|6:Q1:1	1:+|2:+|3:?|4:?|5:+|6:+
SI_Flamingo_04	A1	Flamingo	1	6	State A1 over SI_Flamingo_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:Q1:3|3:M|4:Q1:5|5:Q1:4|6:Q1:1	1:+|2:+|3:?|4:-|5:-|6:-
SI_Flamingo_04	A2	Dove	1	6	State A2 over SI_Flamingo_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:M|3:M|4:Q1:1|5:Q1:2|6:Q1:4	1:-|2:?|3:?|4:+|5:+|6:+
SI_Flamingo_04	A3	Sandgrouse	1	6	State A3 over SI_Flamingo_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:Q1:4|3:M|4:Q1:2|5:Q1:1|6:Q2:1	1:+|2:+|3:?|4:+|5:+|6:-
SI_Flamingo_04	A4	Turaco	1	6	State A4 over SI_Flamingo_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:Q1:1|3:Q1:5|4:Q1:3|5:Q1:4|6:Q1:6	1:+|2:+|3:+|4:+|5:+|6:+
SI_Flamingo_04	A5	Cuckoo	1	6	State A5 over SI_Flamingo_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:4|2:Q1:5|3:M|4:Q1:2|5:Q1:3|6:Q1:1	1:+|2:+|3:?|4:+|5:+|6:-
SI_Flamingo_05	A0	Stork,Dove,Turaco	3	1	State A0 over SI_Flamingo_05 has 3 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Flamingo_05	A1	Flamingo,Sandgrouse,Cuckoo	3	1	State A1 over SI_Flamingo_05 has 3 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Flamingo_06	A0	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5	1	State A0 over SI_Flamingo_06 has 5 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Flamingo_06	A1	Dove	1	1	State A1 over SI_Flamingo_06 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Dove_01	A0	Stork,Dove,Sandgrouse,Turaco	4	1	State A0 over SI_Dove_01 has 4 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Dove_01	A1	Flamingo	1	1	State A1 over SI_Dove_01 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Dove_01	A2	Cuckoo	1	1	State A2 over SI_Dove_01 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Dove_02	A0	Stork,Dove,Sandgrouse,Turaco	4	1	State A0 over SI_Dove_02 has 4 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Dove_02	A1	Flamingo,Cuckoo	2	1	State A1 over SI_Dove_02 has 2 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Dove_03	A0	Stork,Dove,Sandgrouse,Turaco	4	1	State A0 over SI_Dove_03 has 4 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Dove_03	A1	Flamingo,Cuckoo	2	1	State A1 over SI_Dove_03 has 2 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Dove_04	A0	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5	1	State A0 over SI_Dove_04 has 5 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Dove_04	A1	Dove	1	1	State A1 over SI_Dove_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Dove_05	A0	Stork	1	6	State A0 over SI_Dove_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:Q1:4|3:M|4:M|5:Q1:2|6:Q1:1	1:+|2:+|3:?|4:?|5:+|6:+
SI_Dove_05	A1	Flamingo	1	6	State A1 over SI_Dove_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:Q1:3|3:M|4:Q1:5|5:Q1:4|6:Q1:1	1:+|2:+|3:?|4:-|5:-|6:-
SI_Dove_05	A2	Dove	1	6	State A2 over SI_Dove_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:M|3:M|4:Q1:1|5:Q1:2|6:Q1:4	1:-|2:?|3:?|4:+|5:+|6:+
SI_Dove_05	A3	Sandgrouse	1	6	State A3 over SI_Dove_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:Q1:4|3:M|4:Q1:2|5:Q1:1|6:Q2:1	1:+|2:+|3:?|4:+|5:+|6:-
SI_Dove_05	A4	Turaco	1	6	State A4 over SI_Dove_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:Q1:1|3:Q1:5|4:Q1:3|5:Q1:4|6:Q1:6	1:+|2:+|3:+|4:+|5:+|6:+
SI_Dove_05	A5	Cuckoo	1	6	State A5 over SI_Dove_05 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:4|2:Q1:5|3:M|4:Q1:2|5:Q1:3|6:Q1:1	1:+|2:+|3:?|4:+|5:+|6:-
SI_Dove_06	A0	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5	1	State A0 over SI_Dove_06 has 5 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Dove_06	A1	Dove	1	1	State A1 over SI_Dove_06 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Dove_07	A0	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5	1	State A0 over SI_Dove_07 has 5 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Dove_07	A1	Dove	1	1	State A1 over SI_Dove_07 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Sandgrouse_01	A0	Stork,Dove,Sandgrouse,Turaco	4	1	State A0 over SI_Sandgrouse_01 has 4 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Sandgrouse_01	A1	Flamingo	1	1	State A1 over SI_Sandgrouse_01 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Sandgrouse_01	A2	Cuckoo	1	1	State A2 over SI_Sandgrouse_01 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Sandgrouse_02	A0	Stork,Dove,Sandgrouse,Turaco	4	1	State A0 over SI_Sandgrouse_02 has 4 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Sandgrouse_02	A1	Flamingo,Cuckoo	2	1	State A1 over SI_Sandgrouse_02 has 2 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:-
SI_Sandgrouse_03	A0	Stork,Sandgrouse,Turaco	3	1	State A0 over SI_Sandgrouse_03 has 3 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
SI_Sandgrouse_03	A1	Flamingo	1	1	State A1 over SI_Sandgrouse_03 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Sandgrouse_03	A2	Dove	1	1	State A2 over SI_Sandgrouse_03 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Sandgrouse_03	A3	Cuckoo	1	1	State A3 over SI_Sandgrouse_03 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:X	1:!
SI_Sandgrouse_04	A0	Stork	1	6	State A0 over SI_Sandgrouse_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:Q1:4|3:M|4:M|5:Q1:2|6:Q1:1	1:+|2:+|3:?|4:?|5:+|6:+
SI_Sandgrouse_04	A1	Flamingo	1	6	State A1 over SI_Sandgrouse_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:Q1:3|3:M|4:Q1:5|5:Q1:4|6:Q1:1	1:+|2:+|3:?|4:-|5:-|6:-
SI_Sandgrouse_04	A2	Dove	1	6	State A2 over SI_Sandgrouse_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:M|3:M|4:Q1:1|5:Q1:2|6:Q1:4	1:-|2:?|3:?|4:+|5:+|6:+
SI_Sandgrouse_04	A3	Sandgrouse	1	6	State A3 over SI_Sandgrouse_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:3|2:Q1:4|3:M|4:Q1:2|5:Q1:1|6:Q2:1	1:+|2:+|3:?|4:+|5:+|6:-
SI_Sandgrouse_04	A4	Turaco	1	6	State A4 over SI_Sandgrouse_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:2|2:Q1:1|3:Q1:5|4:Q1:3|5:Q1:4|6:Q1:6	1:+|2:+|3:+|4:+|5:+|6:+
SI_Sandgrouse_04	A5	Cuckoo	1	6	State A5 over SI_Sandgrouse_04 has 1 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:4|2:Q1:5|3:M|4:Q1:2|5:Q1:3|6:Q1:1	1:+|2:+|3:?|4:+|5:+|6:-
SI_Sandgrouse_05	A0	Stork,Dove,Sandgrouse,Turaco,Cuckoo	5	1	State A0 over SI_Sandgrouse_05 has 5 species with compatible observed anchor order/orientation. Missing anchors are explicit and ignored for grouping.	1:Q1:1	1:+
