clade	role	taxonomic_group	structural_species	n_structural_representatives	source_file	source_definition	mapping_status	notes
Columbea	C1	Columbimorphae	Dove;Sandgrouse	2	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	Columbimorphae Phoenicopteriformes Passera	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
Columbea	C2	Phoenicopteriformes	Flamingo	1	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	Columbimorphae Phoenicopteriformes Passera	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
Columbea	S	Passera	Turaco;Cuckoo;Stork	3	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	Columbimorphae Phoenicopteriformes Passera	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
Columbea	O	implicit_outgroup		0	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	all leaves not in C1/C2/S	unambiguous_no_focal_structural_representative	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N61	C1	Otidimorphae	Turaco;Cuckoo	2	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	Otidimorphae Columbimorphae ElementavesTelluraves	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N61	C2	Columbimorphae	Dove;Sandgrouse	2	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	Otidimorphae Columbimorphae ElementavesTelluraves	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N61	S	ElementavesTelluraves	Stork	1	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	Otidimorphae Columbimorphae ElementavesTelluraves	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N61	O	implicit_outgroup	Flamingo	1	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	all leaves not in C1/C2/S	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N62	C1	Columbiformes	Dove	1	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	Columbiformes OtherColumbimorphae Otidimorphae	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N62	C2	OtherColumbimorphae	Sandgrouse	1	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	Columbiformes OtherColumbimorphae Otidimorphae	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N62	S	Otidimorphae	Turaco;Cuckoo	2	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	Columbiformes OtherColumbimorphae Otidimorphae	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N62	O	implicit_outgroup	Flamingo;Stork	2	genetreesupport/clade-analysis/score-rec-clade-runs.sh;examined-clades.zip	all leaves not in C1/C2/S	unambiguous	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
