structural_set	flank_window_bp	genealogy_window_bp	clade	event_id	start	end	n_loci	mean_q1	mean_q2	mean_q3	observed_dominant_topology
primary	250000	250000	Columbea	primary_W250000_EV011	1699860	2199860	19	0.313045151712	0.330779818755	0.356175029533	q3
primary	250000	250000	N61	primary_W250000_EV011	1699860	2199860	19	0.302827326825	0.360483293823	0.336689379351	q2
primary	250000	250000	N62	primary_W250000_EV011	1699860	2199860	15	0.25797478555	0.488957457198	0.253067757252	q2
primary	250000		Columbea	primary_W250000_EV001	9504880	10974030	123	0.297241755479	0.368203215953	0.334555028568	q2
primary	250000		N61	primary_W250000_EV001	9504880	10974030	123	0.30125948929	0.346589905379	0.352150605331	q3
primary	250000		N62	primary_W250000_EV001	9504880	10974030	118	0.332167336378	0.337856257778	0.329976405844	q2
primary	250000		Columbea	primary_W250000_EV002	19760078	25213019	317	0.409697337187	0.315806794337	0.274495868476	q1
primary	250000		N61	primary_W250000_EV002	19760078	25213019	318	0.330374539492	0.375279074831	0.294346385677	q2
primary	250000		N62	primary_W250000_EV002	19760078	25213019	307	0.382378781801	0.321243185941	0.296378032258	q1
primary	250000	250000	Columbea	primary_W250000_EV012	25309087	25809087	43	0.910887397465	0.0581828902416	0.0309297122938	q1
primary	250000	250000	N61	primary_W250000_EV012	25309087	25809087	44	0.0310830226764	0.958077383791	0.010839593533	q2
primary	250000	250000	N62	primary_W250000_EV012	25309087	25809087	42	0.96972651557	0.0136212186435	0.0166522657869	q1
primary	250000	250000	Columbea	primary_W250000_EV013	32984049	33484049	30	0.285402433992	0.38860324876	0.325994317248	q2
primary	250000	250000	N61	primary_W250000_EV013	32984049	33484049	32	0.31692457755	0.328910407967	0.354165014482	q3
primary	250000	250000	N62	primary_W250000_EV013	32984049	33484049	32	0.246158216768	0.306933336688	0.446908446544	q3
primary	250000		Columbea	primary_W250000_EV003	34021640	34232794	9	0.931553552794	0.0629859429457	0.00546050426071	q1
primary	250000		N61	primary_W250000_EV003	34021640	34232794	9	0.164153015195	0.812179745241	0.0236672395639	q2
primary	250000		N62	primary_W250000_EV003	34021640	34232794	8	0.891236257403	0.0646773692812	0.0440863733164	q1
primary	250000		Columbea	primary_W250000_EV004	35025837	37255236	139	0.335357812765	0.354652970276	0.309989216959	q2
primary	250000		N61	primary_W250000_EV004	35025837	37255236	140	0.329753819574	0.366345221846	0.303900958579	q2
primary	250000		N62	primary_W250000_EV004	35025837	37255236	124	0.36841644388	0.318831769743	0.312751786377	q1
primary	250000		Columbea	primary_W250000_EV005	39237022	42267292	255	0.344268337974	0.336682109809	0.319049552217	q1
primary	250000		N61	primary_W250000_EV005	39237022	42267292	257	0.37164410837	0.321167632261	0.307188259369	q1
primary	250000		N62	primary_W250000_EV005	39237022	42267292	250	0.391203607676	0.296619685766	0.312176706558	q1
primary	250000		Columbea	primary_W250000_EV006	44647530	45658664	48	0.967476692356	0.0112433862434	0.0212799214005	q1
primary	250000		N61	primary_W250000_EV006	44647530	45658664	48	0.029252507819	0.958282682171	0.0124648100098	q2
primary	250000		N62	primary_W250000_EV006	44647530	45658664	43	0.949449142477	0.0265399696292	0.024010887894	q1
primary	250000	250000	Columbea	primary_W250000_EV014	46172770	46672770	29	0.967432950192	0.0249042145594	0.00766283524903	q1
primary	250000	250000	N61	primary_W250000_EV014	46172770	46672770	26	0.0206853218816	0.977310215511	0.00200446260711	q2
primary	250000	250000	N62	primary_W250000_EV014	46172770	46672770	19	0.990547145264	0.00805726012673	0.00139559460969	q1
primary	250000		Columbea	primary_W250000_EV007	47143089	49159743	132	0.872019099271	0.0722910100808	0.0556898906482	q1
primary	250000		N61	primary_W250000_EV007	47143089	49159743	133	0.046847621235	0.906138021712	0.0470143570527	q2
primary	250000		N62	primary_W250000_EV007	47143089	49159743	116	0.893665873324	0.0665931803368	0.0397409463392	q1
primary	250000	250000	Columbea	primary_W250000_EV015	49374080	49874080	15	0.976592050714	0.0103773115215	0.0130306377642	q1
primary	250000	250000	N61	primary_W250000_EV015	49374080	49874080	15	0.253096962274	0.700707696375	0.0461953413506	q2
primary	250000	250000	N62	primary_W250000_EV015	49374080	49874080	13	0.887895315954	0.00582806984769	0.106276614199	q1
primary	250000		Columbea	primary_W250000_EV008	50410378	50989362	35	0.985714285714	0.0142857142857	0	q1
primary	250000		N61	primary_W250000_EV008	50410378	50989362	35	0	1	0	q2
primary	250000		N62	primary_W250000_EV008	50410378	50989362	31	0.992255492213	0.00259198858408	0.00515251920296	q1
primary	250000		Columbea	primary_W250000_EV009	51789124	57203613	367	0.894751707602	0.0541838873879	0.0510644050102	q1
primary	250000		N61	primary_W250000_EV009	51789124	57203613	369	0.0620310579018	0.896294460639	0.0416744814587	q2
primary	250000		N62	primary_W250000_EV009	51789124	57203613	360	0.917924971392	0.0510533804477	0.0310216481604	q1
primary	250000		Columbea	primary_W250000_EV010	58171516	59982754	137	0.383554491666	0.31849883486	0.297946673474	q1
primary	250000		N61	primary_W250000_EV010	58171516	59982754	138	0.340898380581	0.318276431497	0.340825187922	q1
primary	250000		N62	primary_W250000_EV010	58171516	59982754	128	0.369326664079	0.335013602468	0.295659733454	q1
primary	250000	250000	Columbea	primary_W250000_EV016	60785423	61285423	32	0.30271024423	0.342341017918	0.354948737852	q3
primary	250000	250000	N61	primary_W250000_EV016	60785423	61285423	33	0.413338326561	0.304611925398	0.282049748041	q1
primary	250000	250000	N62	primary_W250000_EV016	60785423	61285423	33	0.400655705686	0.365648778607	0.233695515707	q1
