structural_set	flank_window_bp	clade	n_events	n_strict_eligible_events	n_q1_predictions	n_q2_predictions	n_q3_predictions	n_no_unique_predictions	high_confidence_paired_strict_events	status
inclusive	100000	Columbea	26	0	0	0	0	26	0	underpowered
inclusive	100000	N61	26	0	0	0	0	26	0	underpowered
inclusive	100000	N62	26	0	0	0	0	26	0	underpowered
inclusive	250000	Columbea	25	0	0	0	0	25	0	underpowered
inclusive	250000	N61	25	0	0	0	0	25	0	underpowered
inclusive	250000	N62	25	0	0	0	0	25	0	underpowered
inclusive	500000	Columbea	25	0	0	0	0	25	0	underpowered
inclusive	500000	N61	25	0	0	0	0	25	0	underpowered
inclusive	500000	N62	25	0	0	0	0	25	0	underpowered
primary	100000	Columbea	16	0	0	0	0	16	0	underpowered
primary	100000	N61	16	0	0	0	0	16	0	underpowered
primary	100000	N62	16	0	0	0	0	16	0	underpowered
primary	250000	Columbea	16	0	0	0	0	16	0	underpowered
primary	250000	N61	16	0	0	0	0	16	0	underpowered
primary	250000	N62	16	0	0	0	0	16	0	underpowered
primary	500000	Columbea	16	0	0	0	0	16	0	underpowered
primary	500000	N61	16	0	0	0	0	16	0	underpowered
primary	500000	N62	16	0	0	0	0	16	0	underpowered
stringent	100000	Columbea	9	0	0	0	0	9	0	underpowered
stringent	100000	N61	9	0	0	0	0	9	0	underpowered
stringent	100000	N62	9	0	0	0	0	9	0	underpowered
stringent	250000	Columbea	9	0	0	0	0	9	0	underpowered
stringent	250000	N61	9	0	0	0	0	9	0	underpowered
stringent	250000	N62	9	0	0	0	0	9	0	underpowered
stringent	500000	Columbea	9	0	0	0	0	9	0	underpowered
stringent	500000	N61	9	0	0	0	0	9	0	underpowered
stringent	500000	N62	9	0	0	0	0	9	0	underpowered
