analysis	structural_set	flank_window_bp	clade	n_eligible_events	mean_event_margin_T	fraction_M_gt_0	topology_prediction_accuracy	mean_predicted_q	mean_alternative_q	median_event_margin	permutation_pvalue_one_sided	status
strict_event_state	inclusive	100000	Columbea	0								strict Stage 3B-v2 is underpowered
strict_event_state	inclusive	100000	N61	0								strict Stage 3B-v2 is underpowered
strict_event_state	inclusive	100000	N62	0								strict Stage 3B-v2 is underpowered
strict_event_state	inclusive	250000	Columbea	0								strict Stage 3B-v2 is underpowered
strict_event_state	inclusive	250000	N61	0								strict Stage 3B-v2 is underpowered
strict_event_state	inclusive	250000	N62	0								strict Stage 3B-v2 is underpowered
strict_event_state	inclusive	500000	Columbea	0								strict Stage 3B-v2 is underpowered
strict_event_state	inclusive	500000	N61	0								strict Stage 3B-v2 is underpowered
strict_event_state	inclusive	500000	N62	0								strict Stage 3B-v2 is underpowered
strict_event_state	primary	100000	Columbea	0								strict Stage 3B-v2 is underpowered
strict_event_state	primary	100000	N61	0								strict Stage 3B-v2 is underpowered
strict_event_state	primary	100000	N62	0								strict Stage 3B-v2 is underpowered
strict_event_state	primary	250000	Columbea	0								strict Stage 3B-v2 is underpowered
strict_event_state	primary	250000	N61	0								strict Stage 3B-v2 is underpowered
strict_event_state	primary	250000	N62	0								strict Stage 3B-v2 is underpowered
strict_event_state	primary	500000	Columbea	0								strict Stage 3B-v2 is underpowered
strict_event_state	primary	500000	N61	0								strict Stage 3B-v2 is underpowered
strict_event_state	primary	500000	N62	0								strict Stage 3B-v2 is underpowered
strict_event_state	stringent	100000	Columbea	0								strict Stage 3B-v2 is underpowered
strict_event_state	stringent	100000	N61	0								strict Stage 3B-v2 is underpowered
strict_event_state	stringent	100000	N62	0								strict Stage 3B-v2 is underpowered
strict_event_state	stringent	250000	Columbea	0								strict Stage 3B-v2 is underpowered
strict_event_state	stringent	250000	N61	0								strict Stage 3B-v2 is underpowered
strict_event_state	stringent	250000	N62	0								strict Stage 3B-v2 is underpowered
strict_event_state	stringent	500000	Columbea	0								strict Stage 3B-v2 is underpowered
strict_event_state	stringent	500000	N61	0								strict Stage 3B-v2 is underpowered
strict_event_state	stringent	500000	N62	0								strict Stage 3B-v2 is underpowered
strict_event_state_combined_vectors	inclusive	100000	combined	0								strict Stage 3B-v2 is underpowered
strict_event_state_combined_vectors	inclusive	250000	combined	0								strict Stage 3B-v2 is underpowered
strict_event_state_combined_vectors	inclusive	500000	combined	0								strict Stage 3B-v2 is underpowered
strict_event_state_combined_vectors	primary	100000	combined	0								strict Stage 3B-v2 is underpowered
strict_event_state_combined_vectors	primary	250000	combined	0								strict Stage 3B-v2 is underpowered
strict_event_state_combined_vectors	primary	500000	combined	0								strict Stage 3B-v2 is underpowered
strict_event_state_combined_vectors	stringent	100000	combined	0								strict Stage 3B-v2 is underpowered
strict_event_state_combined_vectors	stringent	250000	combined	0								strict Stage 3B-v2 is underpowered
strict_event_state_combined_vectors	stringent	500000	combined	0								strict Stage 3B-v2 is underpowered
