structural_set	mask_definition	mask_radius_bp	clade	species_topology	strongest_competing_topology	structural_category	n_windows	n_q1	n_q2	n_q3	frequency_q1	frequency_q2	frequency_q3	mean_support_q1	mean_support_q2	mean_support_q3	dominant_topology	best_alternative	species_vs_best_alternative_margin	mean_support_species_vs_best_alternative_margin	n_alternative_topology_windows	fraction_all_alternative_windows	structural_span_bp	fraction_genomic_span
stringent	union_of_frozen_breakpoint_neighborhoods	250000	Columbea	q1	q2	structural-associated	481	323	84	74	0.671517671518	0.174636174636	0.153846153846	0.655312380221	0.186784128523	0.157903491256	q1	q2	0.496881496881	0.468528251698	158	0.050576184379	7846083	0.0859275283546
stringent	union_of_frozen_breakpoint_neighborhoods	250000	Columbea	q1	q2	structural-background	5615	2649	1498	1468	0.471772039181	0.26678539626	0.261442564559	0.462961055149	0.280532074847	0.256506870004	q1	q2	0.204986642921	0.182428980302	2966	0.949423815621	83464387	0.914072471645
stringent	union_of_frozen_breakpoint_neighborhoods	250000	N61	q1	q2	structural-associated	479	97	315	67	0.202505219207	0.657620041754	0.13987473904	0.192344720191	0.648409387906	0.159245891903	q2	q2	-0.455114822547	-0.456064667715	382	0.0874742386077	7846083	0.0859275283546
stringent	union_of_frozen_breakpoint_neighborhoods	250000	N61	q1	q2	structural-background	5653	1668	2468	1517	0.295064567486	0.436582345657	0.268353086857	0.291156252234	0.442854399694	0.265989348072	q2	q2	-0.141517778171	-0.151698147461	3985	0.912525761392	83464387	0.914072471645
stringent	union_of_frozen_breakpoint_neighborhoods	250000	N62	q1	q2	structural-associated	445	291	86	68	0.65393258427	0.193258426966	0.152808988764	0.661835128261	0.175804683139	0.1623601886	q1	q2	0.460674157303	0.486030445122	154	0.0479900280461	7846083	0.0859275283546
stringent	union_of_frozen_breakpoint_neighborhoods	250000	N62	q1	q2	structural-background	5436	2381	1581	1474	0.438005886681	0.290838852097	0.271155261221	0.458309217466	0.276226761212	0.265464021322	q1	q2	0.147167034584	0.182082456254	3055	0.952009971954	83464387	0.914072471645
primary	union_of_frozen_breakpoint_neighborhoods	250000	Columbea	q1	q2	structural-associated	802	513	150	139	0.639650872818	0.187032418953	0.173316708229	0.629286256596	0.197742604281	0.172971139124	q1	q2	0.452618453865	0.431543652315	289	0.092509603073	12521582	0.137131941167
primary	union_of_frozen_breakpoint_neighborhoods	250000	Columbea	q1	q2	structural-background	5294	2459	1432	1403	0.464488099736	0.270494899887	0.265017000378	0.455240650124	0.284556327437	0.260203022438	q1	q2	0.193993199849	0.170684322687	2835	0.907490396927	78788888	0.862868058833
primary	union_of_frozen_breakpoint_neighborhoods	250000	N61	q1	q2	structural-associated	805	171	502	132	0.212422360248	0.623602484472	0.16397515528	0.205710091935	0.616900778399	0.177389129666	q2	q2	-0.411180124224	-0.411190686463	634	0.14517975727	12521582	0.137131941167
primary	union_of_frozen_breakpoint_neighborhoods	250000	N61	q1	q2	structural-background	5327	1594	2281	1452	0.299230336024	0.428195982729	0.272573681246	0.295183553753	0.43503639791	0.269780048337	q2	q2	-0.128965646705	-0.139852844157	3733	0.85482024273	78788888	0.862868058833
primary	union_of_frozen_breakpoint_neighborhoods	250000	N62	q1	q2	structural-associated	752	454	164	134	0.603723404255	0.218085106383	0.178191489362	0.618626156288	0.198732816654	0.182641027059	q1	q2	0.385638297872	0.419893339634	298	0.0928638205048	12521582	0.137131941167
primary	union_of_frozen_breakpoint_neighborhoods	250000	N62	q1	q2	structural-background	5129	2218	1503	1408	0.432442971339	0.293039578865	0.274517449795	0.452462208753	0.278875936795	0.268661854452	q1	q2	0.139403392474	0.173586271958	2911	0.907136179495	78788888	0.862868058833
inclusive	union_of_frozen_breakpoint_neighborhoods	250000	Columbea	q1	q2	structural-associated	1262	748	273	241	0.592709984152	0.216323296355	0.190966719493	0.587218692744	0.223143081127	0.189638226129	q1	q2	0.376386687797	0.364075611617	514	0.164532650448	19247660	0.210793570551
inclusive	union_of_frozen_breakpoint_neighborhoods	250000	Columbea	q1	q2	structural-background	4834	2224	1309	1301	0.460074472487	0.27079023583	0.269135291684	0.449661065226	0.286186222115	0.264152712659	q1	q2	0.189284236657	0.163474843111	2610	0.835467349552	72062810	0.789206429449
inclusive	union_of_frozen_breakpoint_neighborhoods	250000	N61	q1	q2	structural-associated	1269	287	731	251	0.226162332545	0.576044129236	0.197793538219	0.220068411663	0.579704195748	0.200227392588	q2	q2	-0.34988179669	-0.359635784085	982	0.224868330662	19247660	0.210793570551
inclusive	union_of_frozen_breakpoint_neighborhoods	250000	N61	q1	q2	structural-background	4863	1478	2052	1333	0.303927616698	0.421961752005	0.274110631298	0.299973802272	0.427390375051	0.272635822677	q2	q2	-0.118034135307	-0.127416572779	3385	0.775131669338	72062810	0.789206429449
inclusive	union_of_frozen_breakpoint_neighborhoods	250000	N62	q1	q2	structural-associated	1191	671	280	240	0.563392107473	0.235096557515	0.201511335013	0.584478292985	0.213565934325	0.20195577269	q1	q2	0.328295549958	0.37091235866	520	0.162044250545	19247660	0.210793570551
inclusive	union_of_frozen_breakpoint_neighborhoods	250000	N62	q1	q2	structural-background	4690	2001	1387	1302	0.426652452026	0.295735607676	0.277611940299	0.445580360613	0.282610816666	0.271808822721	q1	q2	0.13091684435	0.162969543947	2689	0.837955749455	72062810	0.789206429449
