clade	structural_mask	treatment	q1	q2	q3	dominant_topology	M_species	M_q1_q2	effective_weight_sum	n_windows	n_blocks	delta_M_vs_T0	delta_q2_vs_T0	q1_ci_low	q1_ci_high	q2_ci_low	q2_ci_high	q3_ci_low	q3_ci_high	M_species_ci_low	M_species_ci_high	M_q1_q2_ci_low	M_q1_q2_ci_high	delta_M_ci_low	delta_M_ci_high
Columbea	stringent	T0	0.487532808399	0.259514435696	0.252952755906	q1	0.228018372703	0.228018372703	6096	6096	3165	0	0	0.447702401607	0.527054035707	0.235827168354	0.285037944561	0.229565991331	0.276986353171	0.163798061262	0.287585836208	0.165403651266	0.291144038649	0	0
Columbea	stringent	T1	0.352290679305	0.33112164297	0.316587677725	q1	0.0211690363349	0.0211690363349	3165	6096	3165	-0.206849336368	0.0716072072744	0.335545023697	0.369360189573	0.314691943128	0.347867298578	0.301097946288	0.332069510269	-0.0085308056872	0.0467693522907	-0.00699052132701	0.0492969984202	-0.260016297822	-0.149491981627
Columbea	stringent	T2	0.471772039181	0.26678539626	0.261442564559	q1	0.204986642921	0.204986642921	5615	5615	3005	-0.0230317297827	0.00727096056448	0.430991797088	0.511968745899	0.243006805762	0.292016903732	0.237240717181	0.285847230108	0.139309799217	0.262341661786	0.14162530477	0.266209761514	-0.0468217426379	-0.00291916993924
Columbea	stringent	T3	0.479976090855	0.263000597729	0.257023311417	q1	0.216975493126	0.216975493126	5855.5	6096	3165	-0.0110428795773	0.00348616203309	0.44046403351	0.519517035981	0.239899662553	0.287863363625	0.233028278102	0.280594584272	0.152299813648	0.275561562045	0.155340523081	0.279988577912	-0.0222080577137	-0.00141622312949
N61	stringent	T0	0.287834311807	0.453848662753	0.25831702544	q2	-0.166014350946	-0.166014350946	6132	6132	3289	0	0	0.261394937847	0.313846950502	0.415045300354	0.492589648127	0.235924710271	0.282249732428	-0.228968503985	-0.104632402082	-0.228968503985	-0.104632402082	0	0
N61	stringent	T1	0.34569778048	0.331711766494	0.322590453025	q1	0.013986013986	0.013986013986	3289	6132	3289	0.180000364932	-0.122136896258	0.328975372454	0.361812100943	0.31529340225	0.348137731833	0.306780176345	0.33900881727	-0.0152097902098	0.037404986318	-0.0142976588629	0.042870173305	0.122498970669	0.23273690879
N61	stringent	T2	0.295064567486	0.436582345657	0.268353086857	q2	-0.141517778171	-0.141517778171	5653	5653	3109	0.024496572775	-0.0172663170956	0.26896530782	0.320629480607	0.398834714153	0.475202753423	0.243893591755	0.291708089284	-0.2027548652	-0.0804929693325	-0.2027548652	-0.0804929693325	0.00566446005181	0.0469964276239
N61	stringent	T3	0.291302503182	0.445566397964	0.263131098854	q2	-0.154263894782	-0.154263894782	5892.5	6132	3289	0.0117504561644	-0.00828226478926	0.265410117901	0.317107393693	0.407697309768	0.482949434882	0.240393401522	0.286305202153	-0.215842908954	-0.0915613693079	-0.215842908954	-0.0915613693079	0.00275122593764	0.0222240779168
N62	stringent	T0	0.454344499235	0.283455194695	0.26220030607	q1	0.17088930454	0.17088930454	5881	5881	3014	0	0	0.384884657737	0.522346160241	0.246866363043	0.321135089297	0.226896104152	0.298303459349	0.064095434644	0.273127183624	0.0642662321627	0.273400141348	0	0
N62	stringent	T1	0.317518248175	0.34704711347	0.335434638354	q2	-0.0295288652953	-0.0295288652953	3014	5881	3014	-0.200418169835	0.0635919187757	0.301592568016	0.333443928334	0.329785998673	0.363644658261	0.317850033179	0.352355673524	-0.0570670205707	-0.005300265428	-0.0570670205707	8.29462508294e-06	-0.30031706229	-0.105000736628
N62	stringent	T2	0.438005886681	0.290838852097	0.271155261221	q1	0.147167034584	0.147167034584	5436	5436	2872	-0.0237222699558	0.00738365740235	0.36864710575	0.504759850931	0.254346468241	0.327067669628	0.235831945226	0.307941086296	0.0448131500309	0.251329115987	0.0450248289735	0.251329115987	-0.0548630395862	0.000136745999823
N62	stringent	T3	0.446496421313	0.287001855615	0.266501723071	q1	0.159494565698	0.159494565698	5658.5	5881	3014	-0.0113947388424	0.00354666092067	0.377175909958	0.513298575612	0.249498719636	0.323342765919	0.232094462407	0.302056594776	0.0543287506525	0.258962621797	0.0556540014857	0.258962621797	-0.0258866670298	6.66835319027e-05
Columbea	primary	T0	0.487532808399	0.259514435696	0.252952755906	q1	0.228018372703	0.228018372703	6096	6096	3165	0	0	0.444988598007	0.524970525878	0.23574036417	0.282731685293	0.229741918161	0.279140231611	0.161845864325	0.281234457722	0.162467941466	0.286904426812	0	0
Columbea	primary	T1	0.352290679305	0.33112164297	0.316587677725	q1	0.0211690363349	0.0211690363349	3165	6096	3165	-0.206849336368	0.0716072072744	0.335221169036	0.368728278041	0.315007898894	0.347551342812	0.300781990521	0.333017377567	-0.0085308056872	0.0467614533965	-0.0085308056872	0.0499210110585	-0.255325884303	-0.149063283078
Columbea	primary	T2	0.464488099736	0.270494899887	0.265017000378	q1	0.193993199849	0.193993199849	5294	5294	2876	-0.0340251728545	0.0109804641911	0.424526753636	0.501888235166	0.24792757487	0.292866814686	0.240717122083	0.290106300405	0.131086208911	0.24422357707	0.135182927343	0.249648136934	-0.0642387081433	-0.00809798813362
Columbea	primary	T3	0.476821773486	0.26461808604	0.258560140474	q1	0.212203687445	0.212203687445	5695	6096	3165	-0.0158146852583	0.00510365034485	0.438187325677	0.512975291831	0.242072884204	0.286888015587	0.235899368494	0.284343974124	0.150664523575	0.264696587016	0.151898968918	0.267797781667	-0.0292444784003	-0.00382862466495
N61	primary	T0	0.287834311807	0.453848662753	0.25831702544	q2	-0.166014350946	-0.166014350946	6132	6132	3289	0	0	0.263812533842	0.31420969032	0.41134770858	0.493349063901	0.236236452957	0.283928056232	-0.23066816509	-0.099138584195	-0.23066816509	-0.099138584195	0	0
N61	primary	T1	0.34569778048	0.331711766494	0.322590453025	q1	0.013986013986	0.013986013986	3289	6132	3289	0.180000364932	-0.122136896258	0.330191547583	0.361819702037	0.314981757373	0.347529644269	0.305564001216	0.338400729705	-0.0130738826391	0.0374125874126	-0.0121617512922	0.0428777743995	0.114979134086	0.233767352807
N61	primary	T2	0.299230336024	0.428195982729	0.272573681246	q2	-0.128965646705	-0.128965646705	5327	5327	2956	0.0370487042404	-0.0256526800233	0.276561589971	0.326481669073	0.386830402863	0.465045418194	0.248345067693	0.298150913729	-0.185465432873	-0.0636259815202	-0.185465432873	-0.0636259815202	0.0112212799642	0.0655293102196
N61	primary	T3	0.293132035954	0.441923379003	0.264944585042	q2	-0.148791343049	-0.148791343049	5729.5	6132	3289	0.0172230078967	-0.0119252837494	0.270716619548	0.320139184364	0.401463575544	0.479563647855	0.242390153706	0.290306428187	-0.208286745905	-0.0816479947457	-0.208286745905	-0.0816479947457	0.00531369477061	0.0299667107104
N62	primary	T0	0.454344499235	0.283455194695	0.26220030607	q1	0.17088930454	0.17088930454	5881	5881	3014	0	0	0.379613974544	0.515591568987	0.249471024268	0.323629362829	0.230283549632	0.300747975646	0.0568556619122	0.263414305574	0.0568556619122	0.26483982257	0	0
N62	primary	T1	0.317518248175	0.34704711347	0.335434638354	q2	-0.0295288652953	-0.0295288652953	3014	5881	3014	-0.200418169835	0.0635919187757	0.300597213006	0.335102853351	0.329462508295	0.363304578633	0.318845388188	0.351692103517	-0.0583941605839	-0.00464499004645	-0.0577471798275	8.29462508294e-06	-0.292011258368	-0.0962668398902
N62	primary	T2	0.432442971339	0.293039578865	0.274517449795	q1	0.139403392474	0.139403392474	5129	5129	2737	-0.0314859120659	0.0095843841705	0.362213099435	0.497873207132	0.254765547603	0.331544958447	0.240346327142	0.313764118919	0.0325356865757	0.241296563205	0.0325356865757	0.241296563205	-0.0667235876716	-0.000750048883913
N62	primary	T3	0.444141689373	0.287920072661	0.267938237965	q1	0.156221616712	0.156221616712	5505	5881	3014	-0.014667687828	0.00446487796644	0.373356466939	0.506031512649	0.252158529828	0.326970740953	0.235108209369	0.304908502617	0.0485396034567	0.251568258816	0.0488125984261	0.251568258816	-0.0304295313699	-0.000356511928221
Columbea	inclusive	T0	0.487532808399	0.259514435696	0.252952755906	q1	0.228018372703	0.228018372703	6096	6096	3165	0	0	0.448099376147	0.529535392992	0.233365161212	0.284591856282	0.229527034465	0.278535273191	0.16455650655	0.289065957157	0.168219318969	0.292073873455	0	0
Columbea	inclusive	T1	0.352290679305	0.33112164297	0.316587677725	q1	0.0211690363349	0.0211690363349	3165	6096	3165	-0.206849336368	0.0716072072744	0.336477093207	0.369352290679	0.314368088468	0.348183254344	0.300473933649	0.332709320695	-0.00823854660348	0.0480410742496	-0.00821484992101	0.050560821485	-0.262386427833	-0.14902533601
Columbea	inclusive	T2	0.460074472487	0.27079023583	0.269135291684	q1	0.189284236657	0.189284236657	4834	4834	2663	-0.0387341360464	0.011275800134	0.422865141709	0.497389063131	0.246141428826	0.296566346285	0.246388442034	0.293259484251	0.127029723642	0.241617936898	0.128279280824	0.249068943978	-0.0793810109582	-0.0068604227668
Columbea	inclusive	T3	0.47538883806	0.26450137237	0.26010978957	q1	0.210887465691	0.210887465691	5465	6096	3165	-0.0171309070127	0.00498693667409	0.438206642388	0.5131565175	0.240403363686	0.288659496966	0.237838940618	0.284226409747	0.149611523252	0.265774153796	0.152554091295	0.269408560939	-0.0337660960813	-0.00217504790891
N61	inclusive	T0	0.287834311807	0.453848662753	0.25831702544	q2	-0.166014350946	-0.166014350946	6132	6132	3289	0	0	0.263480132029	0.31413553752	0.411686161553	0.491614915449	0.234733396435	0.284208415615	-0.225157082331	-0.0996725075473	-0.225157082331	-0.0996725075473	0	0
N61	inclusive	T1	0.34569778048	0.331711766494	0.322590453025	q1	0.013986013986	0.013986013986	3289	6132	3289	0.180000364932	-0.122136896258	0.328975372454	0.361515658255	0.316501976285	0.347826086957	0.306476132563	0.3384083308	-0.0158178777744	0.0367892976589	-0.0155062328975	0.0401413803588	0.114982864571	0.229288487388
N61	inclusive	T2	0.303927616698	0.421961752005	0.274110631298	q2	-0.118034135307	-0.118034135307	4863	4863	2741	0.0479802156384	-0.0318869107478	0.279522905238	0.328587953301	0.38572300537	0.460239576659	0.251204777088	0.300476625168	-0.178132365875	-0.0606755694756	-0.178132365875	-0.0606755694756	0.0139590209632	0.0811654852895
