species	structural_interval_id	breakpoint_id	reference_chrom	position	breakpoint_type	source
Stork	SI_Stork_01	SI_Stork_01_left_boundary	chr4	25559924	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_01	SI_Stork_01_right_boundary	chr4	33188482	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_02	SI_Stork_02_left_boundary	chr4	34238392	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_02	SI_Stork_02_right_boundary	chr4	34593634	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_03	SI_Stork_03_left_boundary	chr4	34595896	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_03	SI_Stork_03_right_boundary	chr4	34979864	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_04	SI_Stork_04_left_boundary	chr4	44876564	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_04	SI_Stork_04_right_boundary	chr4	57120130	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_05	SI_Stork_05_left_boundary	chr4	45619857	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_05	SI_Stork_05_right_boundary	chr4	51779869	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_06	SI_Stork_06_left_boundary	chr4	49165617	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Stork	SI_Stork_06	SI_Stork_06_right_boundary	chr4	49618678	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_01	SI_Flamingo_01_left_boundary	chr4	25559924	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_01	SI_Flamingo_01_right_boundary	chr4	33188482	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_02	SI_Flamingo_02_left_boundary	chr4	34238392	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_02	SI_Flamingo_02_right_boundary	chr4	34578004	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_03	SI_Flamingo_03_left_boundary	chr4	34595896	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_03	SI_Flamingo_03_right_boundary	chr4	34979864	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_04	SI_Flamingo_04_left_boundary	chr4	44742091	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_04	SI_Flamingo_04_right_boundary	chr4	51777474	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_05	SI_Flamingo_05_left_boundary	chr4	49165617	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
Flamingo	SI_Flamingo_05	SI_Flamingo_05_right_boundary	chr4	49618678	published_or_inferred_structural_boundary_not_nucleotide_resolved	rearrangements/outlier-regions-by-maf2synteny.tsv
