breakpoint_id	breakpoint_position	flank_window_bp	species	arrangement_state	junction_signature	reference_or_derived	confidence	all_pairs_equivalence_rule
DSB_002	1949860	250000	Flamingo	A2	same_chr:-:+:forward:very_distant	derived_state_2	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_002	1949860	250000	Dove	A3	same_chr:-:-:reverse:very_distant	derived_state_3	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_002	1949860	250000	Sandgrouse	A1	same_chr:+:-:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_002	1949860	250000	Turaco	A1	same_chr:+:-:reverse:very_distant	derived_state_1	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_002	1949860	250000	Cuckoo	A3	same_chr:-:-:reverse:very_distant	derived_state_3	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_002	1949860	250000	Stork	A2	same_chr:-:+:forward:very_distant	derived_state_2	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_002	1949860	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_005	9504880	250000	Flamingo	A2	same_chr:+:+:reverse:very_distant	derived_state_2	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_005	9504880	250000	Dove	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_005	9504880	250000	Sandgrouse	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_005	9504880	250000	Turaco	A4	same_chr:-:-:forward:very_distant	derived_state_4	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_005	9504880	250000	Cuckoo	A3	same_chr:-:+:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_005	9504880	250000	Stork	A1	same_chr:+:+:reverse:near	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_005	9504880	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_006	10974030	250000	Flamingo	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_006	10974030	250000	Dove	A2	same_chr:-:-:forward:near	derived_state_2	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_006	10974030	250000	Sandgrouse	A3	same_chr:-:-:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_006	10974030	250000	Turaco	A3	same_chr:-:-:forward:very_distant	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_006	10974030	250000	Cuckoo	A3	same_chr:-:-:forward:very_distant	derived_state_3	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_006	10974030	250000	Stork	A1	same_chr:+:+:reverse:very_distant	derived_state_1	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_006	10974030	250000	Chicken	A0	same_chr:+:+:forward:adjacent	reference_like	reference_defined	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_013	19760078	250000	Flamingo	A3	different_chr:-:-:chromosome_switch:unknown_gap	derived_state_3	high	identical normalized junction_signature within breakpoint/window; no single-linkage
DSB_013	19760078	250000	Dove	A1	different_chr:+:+:chromosome_switch:unknown_gap	derived_state_1	limited_short_flank_run	identical normalized junction_signature within breakpoint/window; no single-linkage
