structural_set	flank_window_bp	genealogy_window_bp	clade	event_id	start	end	event_type	pairing_confidence	n_loci	role_C1_state	role_C2_state	role_S_state	role_O_state	arrangement_pattern	predicted_topology	prediction_status	structural_confidence	mean_q1	mean_q2	mean_q3	observed_dominant_topology	event_margin	prediction_matches_observed	role_status
primary	100000	100000	Columbea	primary_W100000_EV011	1849860	2049860	single_boundary_event	single_boundary	6	role_heterogeneous	A2	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.285346616	0.385888581956	0.328764802044	q2		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000	100000	N61	primary_W100000_EV011	1849860	2049860	single_boundary_event	single_boundary	6	role_heterogeneous	role_heterogeneous	A2	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.324352935466	0.313950615524	0.361696449009	q3		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000	100000	N62	primary_W100000_EV011	1849860	2049860	single_boundary_event	single_boundary	6	A3	A1	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.341475679942	0.531223949395	0.127300370664	q2		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV001	9504880	10974030	adjacency_change	moderate	123	role_heterogeneous	A2	unresolved	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.297241755479	0.368203215953	0.334555028568	q2		false	C1:role_heterogeneous;C2:resolved;S:unresolved_role_species_state;O:resolved
primary	100000		N61	primary_W100000_EV001	9504880	10974030	adjacency_change	moderate	123	unresolved	role_heterogeneous	A1	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.30125948929	0.346589905379	0.352150605331	q3		false	C1:unresolved_role_species_state;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV001	9504880	10974030	adjacency_change	moderate	118	A3	A5	unresolved	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	unresolved	0.332167336378	0.337856257778	0.329976405844	q2		false	C1:resolved;C2:resolved;S:unresolved_role_species_state;O:role_heterogeneous
primary	100000		Columbea	primary_W100000_EV002	19760078	25213019	adjacency_change	high	317	role_heterogeneous	A5	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.409697337187	0.315806794337	0.274495868476	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
primary	100000		N61	primary_W100000_EV002	19760078	25213019	adjacency_change	high	318	role_heterogeneous	role_heterogeneous	A4	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.330374539492	0.375279074831	0.294346385677	q2		false	C1:role_heterogeneous;C2:role_heterogeneous;S:resolved;O:role_heterogeneous
primary	100000		N62	primary_W100000_EV002	19760078	25213019	adjacency_change	high	307	A1	A3	role_heterogeneous	role_heterogeneous	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	limited	0.382378781801	0.321243185941	0.296378032258	q1		false	C1:resolved;C2:resolved;S:role_heterogeneous;O:role_heterogeneous
primary	100000	100000	Columbea	primary_W100000_EV012	25459087	25659087	single_boundary_event	single_boundary	17	role_heterogeneous	A3	role_heterogeneous	A0	unresolved_or_heterogeneous	no_unique_strict_prediction	no_unique_strict_prediction	high	0.892244593587	0.0295214282581	0.078233978155	q1		false	C1:role_heterogeneous;C2:resolved;S:role_heterogeneous;O:resolved
