clade	method	change_point_id	position	score	left_q1	left_q2	left_q3	right_q1	right_q2	right_q3	delta_q1	delta_q2	delta_q3	dominant_topology_left	dominant_topology_right	cluster_min_position	cluster_max_position	cluster_span_bp	n_raw_change_points	contributing_raw_change_point_ids
Columbea	binary_segmentation	Columbea_binary_segmentation_001	25025000	73.4081862381	0.337121915054	0.348706495938	0.314171589008	0.596014324861	0.212644616418	0.191341058721	0.258892409807	-0.136061879519	-0.122830530288	q2	q1	25025000	25025000	0	1	Columbea_binary_segmentation_raw_001
Columbea	binary_segmentation	Columbea_binary_segmentation_002	34505000	143.517790965	0.880037810954	0.0631756860505	0.0567865029954	0.336323722362	0.34930823222	0.314368045418	-0.543714088592	0.286132546169	0.257581542423	q1	q2	34505000	34505000	0	1	Columbea_binary_segmentation_raw_002
Columbea	binary_segmentation	Columbea_binary_segmentation_003	44135000	230.850910663	0.450283656406	0.289233917234	0.26048242636	0.943400251407	0.0317054678856	0.0248942807072	0.493116595001	-0.257528449348	-0.235588145653	q1	q1	44135000	44135000	0	1	Columbea_binary_segmentation_raw_003
Columbea	binary_segmentation	Columbea_binary_segmentation_004	56825000	88.5804297461	0.555474885481	0.234298158869	0.21022695565	0.35287784107	0.336038248951	0.311083909979	-0.20259704441	0.101740090082	0.100856954329	q1	q1	56825000	56825000	0	1	Columbea_binary_segmentation_raw_004
N61	binary_segmentation	N61_binary_segmentation_001	25015000	72.288289036	0.344139168728	0.324178341414	0.331682489858	0.223011245105	0.580168400847	0.196820354048	-0.121127923623	0.255990059433	-0.13486213581	q1	q2	25015000	25015000	0	1	N61_binary_segmentation_raw_001
N61	binary_segmentation	N61_binary_segmentation_002	34505000	138.135300498	0.083421475118	0.857739283848	0.0588392410341	0.350374173926	0.326910295919	0.322715530155	0.266952698808	-0.530828987929	0.263876289121	q2	q1	34505000	34505000	0	1	N61_binary_segmentation_raw_002
N61	binary_segmentation	N61_binary_segmentation_003	44135000	241.799884408	0.290945209645	0.436597710458	0.272457079898	0.0372537538624	0.940370735672	0.0223755104657	-0.253691455782	0.503773025214	-0.250081569432	q2	q2	44135000	44135000	0	1	N61_binary_segmentation_raw_003
N61	binary_segmentation	N61_binary_segmentation_004	56855000	107.75034814	0.236927002569	0.543865475985	0.219207521446	0.358704558117	0.321432051364	0.319863390518	0.121777555548	-0.222433424621	0.100655869072	q2	q1	56855000	56855000	0	1	N61_binary_segmentation_raw_004
N62	binary_segmentation	N62_binary_segmentation_001	25025000	238.83320857	0.327657374897	0.342873523497	0.329469101606	0.750430237492	0.121245672655	0.128324089853	0.422772862595	-0.221627850842	-0.201145011753	q2	q1	25025000	25025000	0	1	N62_binary_segmentation_raw_001
N62	binary_segmentation	N62_binary_segmentation_002	32725000	137.272588483	0.950785596419	0.020886811088	0.0283275924927	0.40103076756	0.29275403876	0.30621519368	-0.549754828859	0.271867227672	0.277887601187	q1	q1	32725000	32725000	0	1	N62_binary_segmentation_raw_002
