species	reference_position	left_run_id	right_run_id	left_query_chrom	right_query_chrom	left_relative_orientation	right_relative_orientation	reference_gap_bp	query_gap_bp	same_query_chromosome	relative_orientation_switch	query_order_consistent	query_order_reversal	query_overlap	query_jump_bp	reference_query_gap_discrepancy	scaffold_or_chromosome_switch	score_chromosome_switch	score_orientation_switch	score_order_reversal	score_query_jump	score_gap_discrepancy	breakpoint_score	evidence	persistent_regime_change	left_support_bp	right_support_bp	left_support_blocks	right_support_blocks
Stork	619154	STO_R0001	STO_R0002	CM030203.1	CM030203.1	-	-	130877	225617	1	0	1	0	0	225617	94740	0	0	0	0	0.186375460246	0.223474150855	0.409849611101	weak_gap_signal	1	459332	851466	16	29
Stork	1108690	STO_R0002	STO_R0003	CM030203.1	CM030203.1	-	-	124753	186310	1	0	1	0	0	186310	61557	0	0	0	0	0.153905122391	0.145201586491	0.299106708882	weak_gap_signal	0	821053	489745	29	16
Stork	1563579	STO_R0003	STO_R0004	CM030203.1	CM030203.1	-	-	68224	22033953	1	0	1	0	0	22033953	21965729	0	0	0	0	3	2	5	large_query_jump,gap_discrepancy	0	1179454	131344	39	6
Stork	1759938	STO_R0004	STO_R0005	CM030203.1	CM030203.1	-	-	150513	441860	1	0	1	0	0	441860	291347	0	0	0	0	0.365007339271	0.687233728406	1.05224106768	weak_gap_signal	0	1266444	44354	43	2
Stork	1938936	STO_R0005	STO_R0006	CM030203.1	CM030203.1	-	+	118776	12807017	1	1	0	1	0	12807017	12688241	0	0	3	3	3	2	11	orientation_switch,order_reversal,large_query_jump,gap_discrepancy	1	1310798	5749252	45	255
Stork	3643366	STO_R0006	STO_R0007	CM030203.1	CM030203.1	+	+	129326	178998	1	0	1	0	0	178998	49672	0	0	0	0	0.147864897739	0.117167067989	0.265031965728	weak_gap_signal	0	1580379	4168873	60	195
Stork	7877222	STO_R0007	STO_R0008	CM030203.1	CM030197.1	+	-	640		0	1	0	0	0			1	5	3	0	0	0	8	chromosome_switch,orientation_switch	0	5749252	8447	255	1
Stork	7886550	STO_R0008	STO_R0009	CM030197.1	CM030203.1	-	+	1121		0	1	0	0	0			1	5	3	0	0	0	8	chromosome_switch,orientation_switch	0	8447	10667497	1	514
Stork	9502558	STO_R0009	STO_R0010	CM030203.1	CM030203.1	+	+	196	-21874828	1	0	0	1	21874828	21874828	21874632	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	1	1615350	9052147	73	441
Stork	9601740	STO_R0010	STO_R0011	CM030203.1	CM030203.1	+	+	698	10057053	1	0	1	0	0	10057053	10056355	0	0	0	0	3	2	5	large_query_jump,gap_discrepancy	1	1714085	8953412	75	439
Stork	10956521	STO_R0011	STO_R0012	CM030203.1	CM030203.1	+	+	8104	-11759221	1	0	0	1	11759221	11759221	11751117	0	0	0	3	3	2	8	order_reversal,large_query_jump,gap_discrepancy	1	3064465	7603032	153	361
Stork	18563736	STO_R0012	STO_R0013	CM030203.1	CM030203.1	+	-	262	7	1	1	0	1	0	7	255	0	0	3	3	5.78249077739e-06	0.000601497872789	6.00060728036	orientation_switch,order_reversal	0	10667497	19434	514	1
Stork	18584086	STO_R0013	STO_R0014	CM030203.1	CM030203.1	-	+	1571	535	1	1	0	1	0	535	1036	0	0	3	3	0.000441947509415	0.00244373253415	6.00288568004	orientation_switch,order_reversal	0	19434	112755	1	1
