old_breakpoint_id	old_position	new_breakpoint_id	new_position	distance_bp	old_species_support	new_species_support	status
DSB_001	1582350	DSB_001	1582350	0	Dove	Dove	retained
DSB_002	1961759	DSB_002	1949860	11899	Stork,Flamingo,Dove,Sandgrouse,Turaco	Stork,Flamingo,Dove,Sandgrouse,Turaco	shifted
DSB_003	5161408	DSB_003	5161408	0	Dove	Dove	retained
DSB_004	8704428	DSB_004	8704428	0	Dove	Dove	retained
DSB_005	9483673	DSB_005	9504880	21207	Stork,Flamingo,Dove,Sandgrouse,Turaco	Stork,Flamingo,Dove,Sandgrouse,Turaco	shifted
DSB_006	10975978	DSB_006	10974030	1948	Stork,Dove,Sandgrouse,Turaco,Cuckoo	Stork,Dove,Sandgrouse,Turaco,Cuckoo	shifted
DSB_007	11304692	DSB_007	11304692	0	Cuckoo	Cuckoo	retained
DSB_008	12214254	DSB_008	12214254	0	Cuckoo	Cuckoo	retained
DSB_009	12886511	DSB_009	12886511	0	Dove	Dove	retained
DSB_010	14318518	DSB_010	14318518	0	Cuckoo	Cuckoo	retained
DSB_011	16491814	DSB_011	16491814	0	Dove	Dove	retained
DSB_012	18036264	DSB_012	18036264	0	Dove	Dove	retained
DSB_013	19760323	DSB_013	19760078	245	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	shifted
DSB_014	25213001	DSB_014	25213019	18	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	shifted
DSB_015	25558537	DSB_015	25559087	550	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	shifted
DSB_016	33234187	DSB_016	33234049	138	Sandgrouse,Turaco	Sandgrouse,Turaco	shifted
DSB_017	34115833	DSB_017	34021640	94193	Stork,Flamingo,Turaco,Cuckoo	Stork,Flamingo,Turaco,Cuckoo	split
DSB_017	34115833	DSB_018	34232794	116961	Stork,Flamingo,Turaco,Cuckoo	Stork,Flamingo,Cuckoo	split
DSB_018	34741919	DSB_019	34741919	0	Dove	Dove	retained
DSB_019	35025779	DSB_020	35025837	58	Stork,Flamingo,Sandgrouse,Cuckoo	Stork,Flamingo,Sandgrouse,Cuckoo	shifted
DSB_020	35331645	DSB_021	35331645	0	Sandgrouse	Sandgrouse	retained
DSB_021	37249106	DSB_022	37255236	6130	Stork,Dove,Sandgrouse,Cuckoo	Stork,Dove,Sandgrouse,Cuckoo	shifted
DSB_022	39231949	DSB_023	39237022	5073	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	shifted
DSB_023	42267283	DSB_024	42267292	9	Stork,Dove	Stork,Dove	shifted
DSB_024	44648799	DSB_025	44647530	1269	Stork,Flamingo,Dove,Sandgrouse,Cuckoo	Stork,Flamingo,Dove,Sandgrouse,Cuckoo	shifted
DSB_025	45656249	DSB_026	45658664	2415	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	shifted
DSB_026	46397999	DSB_027	46422770	24771	Stork,Flamingo,Dove,Sandgrouse,Turaco	Stork,Flamingo,Dove,Sandgrouse,Turaco	shifted
DSB_027	47140123	DSB_028	47143089	2966	Stork,Flamingo,Turaco,Cuckoo	Stork,Flamingo,Cuckoo	split
DSB_027	47140123	DSB_029	47228924	88801	Stork,Flamingo,Turaco,Cuckoo	Turaco	split
DSB_028	49159451	DSB_030	49159743	292	Flamingo,Sandgrouse	Flamingo,Sandgrouse	shifted
DSB_029	49626044	DSB_031	49624080	1964	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	shifted
DSB_030	50085260	DSB_032	50085260	0	Dove	Dove	retained
DSB_031	50403126	DSB_033	50410378	7252	Dove,Sandgrouse,Turaco	Dove,Sandgrouse,Turaco	shifted
DSB_032	50988341	DSB_034	50989362	1021	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	shifted
DSB_033	51570722	DSB_035	51570722	0	Dove	Dove	retained
DSB_034	51790073	DSB_036	51789124	949	Stork,Sandgrouse,Cuckoo	Stork,Sandgrouse,Cuckoo	shifted
DSB_035	55393543	DSB_037	55393543	0	Turaco	Turaco	retained
DSB_036	55750019	DSB_038	55750019	0	Turaco	Turaco	retained
DSB_037	56712451	DSB_039	56712451	0	Turaco	Turaco	retained
DSB_038	57203613	DSB_040	57203613	0	Stork,Cuckoo	Stork,Cuckoo	retained
DSB_039	58170699	DSB_041	58171516	817	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	shifted
DSB_040	59984919	DSB_042	59982754	2165	Dove,Sandgrouse,Turaco	Dove,Sandgrouse,Turaco	shifted
DSB_041	61040106	DSB_043	61035423	4683	Stork,Flamingo,Cuckoo	Stork,Flamingo,Cuckoo	shifted
