consensus_breakpoint_id	denovo_reference_position	confidence_class	n_species_support	nearest_published_boundary_id	nearest_published_region	nearest_published_position	distance_bp	exact_published_boundary_overlap
DSB_001	1582350	species_specific	1	PUB_010_left	Chicken	25559924	23977574	0
DSB_002	1949860	strong_consensus	5	PUB_010_left	Chicken	25559924	23610064	0
DSB_003	5161408	species_specific	1	PUB_010_left	Chicken	25559924	20398516	0
DSB_004	8704428	species_specific	1	PUB_010_left	Chicken	25559924	16855496	0
DSB_005	9504880	strong_consensus	5	PUB_010_left	Chicken	25559924	16055044	0
DSB_006	10974030	strong_consensus	5	PUB_010_left	Chicken	25559924	14585894	0
DSB_007	11304692	species_specific	1	PUB_010_left	Chicken	25559924	14255232	0
DSB_008	12214254	species_specific	1	PUB_010_left	Chicken	25559924	13345670	0
DSB_009	12886511	species_specific	1	PUB_010_left	Chicken	25559924	12673413	0
DSB_010	14318518	species_specific	1	PUB_010_left	Chicken	25559924	11241406	0
DSB_011	16491814	species_specific	1	PUB_010_left	Chicken	25559924	9068110	0
DSB_012	18036264	species_specific	1	PUB_010_left	Chicken	25559924	7523660	0
DSB_013	19760078	strong_consensus	6	PUB_010_left	Chicken	25559924	5799846	0
DSB_014	25213019	strong_consensus	6	PUB_010_left	Chicken	25559924	346905	0
DSB_015	25559087	strong_consensus	6	PUB_010_left	Chicken	25559924	837	0
DSB_016	33234049	moderate_consensus	2	PUB_2484_right	Chicken	33188482	45567	0
DSB_017	34021640	strong_consensus	4	PUB_2485_left	Chicken	34237192	215552	0
DSB_018	34232794	moderate_consensus	3	PUB_2485_left	Chicken	34237192	4398	0
DSB_019	34741919	species_specific	1	PUB_2579_right	Chicken	34742006	87	0
DSB_020	35025837	strong_consensus	4	PUB_2600_right	Chicken	35025265	572	0
DSB_021	35331645	species_specific	1	PUB_2600_right	Chicken	35025265	306380	0
DSB_022	37255236	strong_consensus	4	PUB_2600_right	Chicken	35025265	2229971	0
DSB_023	39237022	strong_consensus	6	PUB_2600_right	Chicken	35025265	4211757	0
DSB_024	42267292	moderate_consensus	2	PUB_2602_left	Chicken	44676285	2408993	0
DSB_025	44647530	strong_consensus	5	PUB_2602_left	Chicken	44676285	28755	0
DSB_026	45658664	strong_consensus	6	PUB_2735_right	Chicken	45657892	772	0
DSB_027	46422770	strong_consensus	5	PUB_2839_left	Chicken	46427693	4923	0
DSB_028	47143089	moderate_consensus	3	PUB_2971_left	Chicken	47141470	1619	0
DSB_029	47228924	species_specific	1	PUB_2977_left	Chicken	47225357	3567	0
DSB_030	49159743	moderate_consensus	2	PUB_3419_right	Chicken	49157564	2179	0
DSB_031	49624080	strong_consensus	6	PUB_3499_right	Chicken	49626337	2257	0
DSB_032	50085260	species_specific	1	PUB_3643_right	Chicken	50080270	4990	0
DSB_033	50410378	moderate_consensus	3	PUB_3746_right	Chicken	50406604	3774	0
DSB_034	50989362	strong_consensus	6	PUB_3898_right	Chicken	50989368	6	0
DSB_035	51570722	species_specific	1	PUB_4088_left	Chicken	51575849	5127	0
DSB_036	51789124	moderate_consensus	3	PUB_4032_right	Chicken	51786682	2442	0
DSB_037	55393543	species_specific	1	PUB_5279_right	Chicken	55393543	0	1
DSB_038	55750019	species_specific	1	PUB_5393_left	Chicken	55750019	0	1
DSB_039	56712451	species_specific	1	PUB_5625_right	Chicken	56714268	1817	0
DSB_040	57203613	moderate_consensus	2	PUB_5755_right	Chicken	57153336	50277	0
DSB_041	58171516	strong_consensus	5	PUB_5755_right	Chicken	57153336	1018180	0
DSB_042	59982754	moderate_consensus	3	PUB_5755_right	Chicken	57153336	2829418	0
DSB_043	61035423	moderate_consensus	3	PUB_5755_right	Chicken	57153336	3882087	0
