structural_set	flank_window_bp	species	breakpoint_id	breakpoint_position	left_query_chrom	right_query_chrom	left_query_end_or_boundary	right_query_start_or_boundary	left_relative_orientation	right_relative_orientation	same_query_chromosome	query_order_relationship	query_gap_or_jump	query_gap_class	chromosome_switch	orientation_switch	order_reversal	left_run_length	right_run_length	distance_left_run_to_breakpoint	distance_right_run_to_breakpoint	junction_signature	confidence
primary;stringent;inclusive	250000	Flamingo	DSB_002	1949860	chr12	chr12	122564	12879735	-	+	true	forward	12757171	very_distant	false	true	false	44355	1558521	70312	70311	same_chr:-:+:forward:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Dove	DSB_002	1949860	OU015479.1	OU015479.1	21531722	3007230	-	-	true	reverse	18524492	very_distant	false	false	true	44374	80010	70293	11856	same_chr:-:-:reverse:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Sandgrouse	DSB_002	1949860	chr18	chr18	22016986	10674334	+	-	true	reverse	11342652	very_distant	false	true	true	70247	1560386	70293	69675	same_chr:+:-:reverse:very_distant	high
primary;stringent;inclusive	250000	Turaco	DSB_002	1949860	chr13	chr13	24044046	11565879	+	-	true	reverse	12478167	very_distant	false	true	true	44355	1559195	70312	70311	same_chr:+:-:reverse:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Cuckoo	DSB_002	1949860	CM030646.1	CM030646.1	20042286	10370706	-	-	true	reverse	9671580	very_distant	false	false	true	28355	79281	70337	79368	same_chr:-:-:reverse:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Stork	DSB_002	1949860	CM030203.1	CM030203.1	72556	12952439	-	+	true	forward	12879883	very_distant	false	true	false	44355	1580380	70312	48464	same_chr:-:+:forward:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Chicken	DSB_002	1949860	GalGal6_chr4	GalGal6_chr4	1949860	1949861	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_005	9504880	chr12	chr12	22564716	950369	+	+	true	reverse	21614347	very_distant	false	false	true	1614804	30187	2956	59343	same_chr:+:+:reverse:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Dove	DSB_005	9504880	OU015479.1	OU015479.1	1656709	21317319	-	-	true	forward	19660610	very_distant	false	false	false	97411	93025	3637	3144	same_chr:-:-:forward:very_distant	high
primary;stringent;inclusive	250000	Sandgrouse	DSB_005	9504880	chr18	chr18	1768189	21487431	-	-	true	forward	19719242	very_distant	false	false	false	1615025	67238	2746	10123	same_chr:-:-:forward:very_distant	high
primary;stringent;inclusive	250000	Turaco	DSB_005	9504880	chr13	chr13	1898973	23423505	-	-	true	forward	21524532	very_distant	false	false	false	1615350	86316	2413	2414	same_chr:-:-:forward:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_005	9504880	CM030646.1	CM030646.1	1858396	22561142	-	+	true	forward	20702746	very_distant	false	true	false	141715	64617	3055	25691	same_chr:-:+:forward:very_distant	high
primary;stringent;inclusive	250000	Stork	DSB_005	9504880	CM030203.1	CM030203.1	967566	847532	+	+	true	reverse	120034	near	false	false	true	98736	98736	0	0	same_chr:+:+:reverse:near	high
primary;stringent;inclusive	250000	Chicken	DSB_005	9504880	GalGal6_chr4	GalGal6_chr4	9504880	9504881	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_006	10974030	chr12	chr12	12620597	1059983	+	+	true	reverse	11560614	very_distant	false	false	true	1348917	71542	23025	27140	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Dove	DSB_006	10974030	OU015479.1	OU015479.1	21086845	21142957	-	-	true	forward	56112	near	false	false	false	46094	46094	0	0	same_chr:-:-:forward:near	limited_short_flank_run
primary;stringent;inclusive	250000	Sandgrouse	DSB_006	10974030	chr18	chr18	10912964	21396524	-	-	true	forward	10483560	very_distant	false	false	false	683361	7565366	24209	24210	same_chr:-:-:forward:very_distant	high
primary;stringent;inclusive	250000	Turaco	DSB_006	10974030	chr13	chr13	11884720	23296082	-	-	true	forward	11411362	very_distant	false	false	false	1350381	7565439	21561	24137	same_chr:-:-:forward:very_distant	high
primary;stringent;inclusive	250000	Cuckoo	DSB_006	10974030	CM030646.1	CM030646.1	10611071	21110236	-	-	true	forward	10499165	very_distant	false	false	false	1350121	5353	21821	110842	same_chr:-:-:forward:very_distant	limited_short_flank_run
primary;stringent;inclusive	250000	Stork	DSB_006	10974030	CM030203.1	CM030203.1	10124699	985839	+	+	true	reverse	9138860	very_distant	false	false	true	7603033	7603033	0	0	same_chr:+:+:reverse:very_distant	high
primary;stringent;inclusive	250000	Chicken	DSB_006	10974030	GalGal6_chr4	GalGal6_chr4	10974030	10974031	+	+	true	forward	1	adjacent	false	false	false	250000	250000	0	0	same_chr:+:+:forward:adjacent	reference_defined
primary;stringent;inclusive	250000	Flamingo	DSB_013	19760078	chr12	chr4	10152997	49856380	-	-	false	chromosome_switch		unknown_gap	true	false	false	75673	585411	55931	55932	different_chr:-:-:chromosome_switch:unknown_gap	high
