consensus_breakpoint_id	reference_position	min_position	max_position	cluster_span_bp	n_species_support	species_support	n_total_candidate_calls	n_same_species_calls_removed	removed_same_species_call_ids	mean_score	median_score	evidence_types	robust_species_count	parameter_recovery_fraction	confidence_class	source_breakpoint_ids	candidate_breakpoint_ids
DSB_001	1582350	1582350	1582350	0	1	Dove	1	0		7.89141453343	7.89141453343	gap_discrepancy,order_reversal,orientation_switch	1	0.802469135802	species_specific	Dove_BP001	Dove_BP001
DSB_002	1949860	1938936	2042648	103712	5	Stork,Flamingo,Dove,Sandgrouse,Turaco	5	0		10.4	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	5	1	strong_consensus	Stork_BP001;Flamingo_BP001;Dove_BP002;Sandgrouse_BP001;Turaco_BP001	Stork_BP001;Sandgrouse_BP001;Flamingo_BP001;Turaco_BP001;Dove_BP002
DSB_003	5161408	5161408	5161408	0	1	Dove	1	0		8	8	gap_discrepancy,large_query_jump,order_reversal	1	1	species_specific	Dove_BP003	Dove_BP003
DSB_004	8704428	8704428	8704428	0	1	Dove	1	0		9.72445439963	9.72445439963	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	1	species_specific	Dove_BP004	Dove_BP004
DSB_005	9504880	9400482	9533074	132592	5	Stork,Flamingo,Dove,Sandgrouse,Turaco	5	0		8.6	8	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	5	1	strong_consensus	Stork_BP002;Flamingo_BP002;Dove_BP005;Sandgrouse_BP002;Turaco_BP002	Dove_BP005;Stork_BP002;Turaco_BP002;Sandgrouse_BP002;Flamingo_BP002
DSB_006	10974030	10955480	11018540	63060	5	Stork,Dove,Sandgrouse,Turaco,Cuckoo	5	0		8	8	gap_discrepancy,large_query_jump,order_reversal	5	1	strong_consensus	Stork_BP003;Dove_BP006;Sandgrouse_BP003;Turaco_BP003;Cuckoo_BP001	Dove_BP006;Stork_BP003;Sandgrouse_BP003;Turaco_BP003;Cuckoo_BP001
DSB_007	11304692	11304692	11304692	0	1	Cuckoo	1	0		6.36723855365	6.36723855365	gap_discrepancy,large_query_jump,order_reversal	1	0.469135802469	species_specific	Cuckoo_BP002	Cuckoo_BP002
DSB_008	12214254	12214254	12214254	0	1	Cuckoo	1	0		9.52887899656	9.52887899656	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	1	species_specific	Cuckoo_BP003	Cuckoo_BP003
DSB_009	12886511	12886511	12886511	0	1	Dove	1	0		11	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	0.666666666667	species_specific	Dove_BP007	Dove_BP007
DSB_010	14318518	14318518	14318518	0	1	Cuckoo	1	0		10.1217875145	10.1217875145	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	1	species_specific	Cuckoo_BP004	Cuckoo_BP004
DSB_011	16491814	16491814	16491814	0	1	Dove	1	0		8	8	gap_discrepancy,large_query_jump,order_reversal	1	1	species_specific	Dove_BP008	Dove_BP008
DSB_012	18036264	18036264	18036264	0	1	Dove	1	0		11	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	1	species_specific	Dove_BP009	Dove_BP009
