boundary_id	position	source_regions	boundary_type
SB_001	25559924	CR_01	canonical_start
SB_002	33188482	CR_01	canonical_end
SB_003	34237192	CR_02	canonical_start
SB_004	34594765	CR_02;CR_03	canonical_end;canonical_start
SB_005	35025265	CR_03	canonical_end
SB_006	44721841	CR_04;CR_05	canonical_start
SB_007	45601045	CR_06;CR_07	canonical_start
SB_008	47009757	CR_06	canonical_end
SB_009	47448092	CR_08	canonical_start
SB_010	49165617	CR_09	canonical_start
SB_011	49623572	CR_09;CR_10	canonical_end;canonical_start
SB_012	50431424	CR_10	canonical_end
SB_013	51783553	CR_05;CR_07;CR_08;CR_11	canonical_end;canonical_start
SB_014	57137178	CR_04;CR_11	canonical_end
