segment_id	start	end	length_bp	left_breakpoint_id	right_breakpoint_id
primary_SEG_001	1	1949860	1949860	chromosome_start	DSB_002
primary_SEG_002	1949861	9504880	7555020	DSB_002	DSB_005
primary_SEG_003	9504881	10974030	1469150	DSB_005	DSB_006
primary_SEG_004	10974031	19760078	8786048	DSB_006	DSB_013
primary_SEG_005	19760079	25213019	5452941	DSB_013	DSB_014
primary_SEG_006	25213020	25559087	346068	DSB_014	DSB_015
primary_SEG_007	25559088	33234049	7674962	DSB_015	DSB_016
primary_SEG_008	33234050	34021640	787591	DSB_016	DSB_017
primary_SEG_009	34021641	34232794	211154	DSB_017	DSB_018
primary_SEG_010	34232795	35025837	793043	DSB_018	DSB_020
primary_SEG_011	35025838	37255236	2229399	DSB_020	DSB_022
primary_SEG_012	37255237	39237022	1981786	DSB_022	DSB_023
primary_SEG_013	39237023	42267292	3030270	DSB_023	DSB_024
primary_SEG_014	42267293	44647530	2380238	DSB_024	DSB_025
primary_SEG_015	44647531	45658664	1011134	DSB_025	DSB_026
primary_SEG_016	45658665	46422770	764106	DSB_026	DSB_027
primary_SEG_017	46422771	47143089	720319	DSB_027	DSB_028
primary_SEG_018	47143090	49159743	2016654	DSB_028	DSB_030
primary_SEG_019	49159744	49624080	464337	DSB_030	DSB_031
primary_SEG_020	49624081	50410378	786298	DSB_031	DSB_033
primary_SEG_021	50410379	50989362	578984	DSB_033	DSB_034
primary_SEG_022	50989363	51789124	799762	DSB_034	DSB_036
primary_SEG_023	51789125	57203613	5414489	DSB_036	DSB_040
primary_SEG_024	57203614	58171516	967903	DSB_040	DSB_041
primary_SEG_025	58171517	59982754	1811238	DSB_041	DSB_042
primary_SEG_026	59982755	61035423	1052669	DSB_042	DSB_043
primary_SEG_027	61035424	91310470	30275047	DSB_043	chromosome_end
