species	canonical_region_id	anchor_id	reference_start	reference_end	dominant_query_chrom	dominant_query_start	dominant_query_end	orientation	coverage_fraction	n_raw_blocks	ambiguous	missing
Stork	CR_01	CR_01_A001	25559924	25659924	pri.CM030196.1	75399334	75467296	+	0.63635	1	false	false
Flamingo	CR_01	CR_01_A001	25559924	25659924	pri.chr4	75445840	75522256	-	0.74468	1	false	false
Dove	CR_01	CR_01_A001	25559924	25659924	1.LR594554.2	15786768	15863634	+	0.55242	3	false	false
Sandgrouse	CR_01	CR_01_A001	25559924	25659924	pri.chr15	9641392	9706756	+	0.68909	1	false	false
Turaco	CR_01	CR_01_A001	25559924	25659924	pri.chr5	9562293	9648000	+	0.62641	2	false	false
Cuckoo	CR_01	CR_01_A001	25559924	25659924	pri.CM030640.1	71052241	71124306	-	0.45287	4	false	false
Stork	CR_01	CR_01_A002	25659924	25759924	pri.CM030196.1	75247046	75335396	+	0.41587	6	false	false
Flamingo	CR_01	CR_01_A002	25659924	25759924	pri.chr4	75306243	75391081	-	0.39646	5	false	false
Dove	CR_01	CR_01_A002	25659924	25759924	1.LR594554.2	15904648	15984819	+	0.44161	6	false	false
Sandgrouse	CR_01	CR_01_A002	25659924	25759924	pri.chr15	9519718	9603917	+	0.45631	6	false	false
Turaco	CR_01	CR_01_A002	25659924	25759924	pri.chr5	9641484	9750087	+	0.68119	9	false	false
Cuckoo	CR_01	CR_01_A002	25659924	25759924	pri.CM030640.1	70918721	71003148	-	0.4134	6	false	false
Stork	CR_01	CR_01_A003	25759924	25859924	pri.CM030196.1	75128341	75237573	+	0.4206	6	false	false
Flamingo	CR_01	CR_01_A003	25759924	25859924	pri.chr4	75213715	75302598	-	0.40809	5	false	false
Dove	CR_01	CR_01_A003	25759924	25859924	1.LR594554.2	15990247	16094202	+	0.48436	7	false	false
Sandgrouse	CR_01	CR_01_A003	25759924	25859924					0.16584	3	false	true
Turaco	CR_01	CR_01_A003	25759924	25859924	pri.chr5	9753755	9857424	+	0.53898	7	false	false
Cuckoo	CR_01	CR_01_A003	25759924	25859924	pri.CM030640.1	70814448	70912072	-	0.45125	7	false	false
Stork	CR_01	CR_01_A004	25859924	25959924	pri.CM030196.1	75047616	75134319	+	0.5067	7	false	false
Flamingo	CR_01	CR_01_A004	25859924	25959924	pri.chr4	75097701	75181296	-	0.45625	5	false	false
Dove	CR_01	CR_01_A004	25859924	25959924	1.LR594554.2	16088883	16170933	+	0.52922	6	false	false
Sandgrouse	CR_01	CR_01_A004	25859924	25959924	pri.chr15	9332619	9420350	+	0.43401	6	false	false
Turaco	CR_01	CR_01_A004	25859924	25959924	pri.chr5	9851457	9933222	+	0.41968	4	false	false
Cuckoo	CR_01	CR_01_A004	25859924	25959924	pri.CM030640.1	70718168	70820316	-	0.4581	5	false	false
Stork	CR_01	CR_01_A005	25959924	26059924	pri.CM030196.1	74924348	75028679	+	0.51846	7	false	false
Flamingo	CR_01	CR_01_A005	25959924	26059924	pri.chr4	74992284	75087592	-	0.48321	6	false	false
Dove	CR_01	CR_01_A005	25959924	26059924	1.LR594554.2	16188493	16331029	+	0.36214	6	false	false
Sandgrouse	CR_01	CR_01_A005	25959924	26059924	pri.chr15	9240406	9331470	+	0.45202	4	false	false
Turaco	CR_01	CR_01_A005	25959924	26059924	pri.chr5	9949962	10020738	+	0.45669	6	false	false
Cuckoo	CR_01	CR_01_A005	25959924	26059924					0.1352	2	false	true
Stork	CR_01	CR_01_A006	26059924	26159924	pri.CM030196.1	74745235	74914341	+	0.53574	3	false	false
Flamingo	CR_01	CR_01_A006	26059924	26159924	pri.chr4	74846947	74982351	-	0.53388	3	false	false
Dove	CR_01	CR_01_A006	26059924	26159924	1.LR594554.2	16320202	16462806	+	0.51162	5	false	false
Sandgrouse	CR_01	CR_01_A006	26059924	26159924	pri.chr15	9119078	9233494	+	0.23863	3	false	false
Turaco	CR_01	CR_01_A006	26059924	26159924	pri.chr5	10058676	10178646	+	0.43004	4	false	false
Cuckoo	CR_01	CR_01_A006	26059924	26159924	pri.CM030640.1	70485677	70611719	-	0.38914	5	false	false
Stork	CR_01	CR_01_A007	26159924	26259924	pri.CM030196.1	74636369	74778220	+	0.42879	6	false	false
Flamingo	CR_01	CR_01_A007	26159924	26259924	pri.chr4	74730984	74877692	-	0.28252	4	false	false
Dove	CR_01	CR_01_A007	26159924	26259924	1.LR594554.2	16451553	16570665	+	0.35153	5	false	false
Sandgrouse	CR_01	CR_01_A007	26159924	26259924	pri.chr15	9021249	9128039	+	0.37298	5	false	false
Turaco	CR_01	CR_01_A007	26159924	26259924	pri.chr5	10223753	10302775	+	0.33131	4	false	false
