"x"	"col"	"sp"	"size"	"tag"
"1"	31822	12326	"Flamingo (Mirandornithes)"	24652	"chr4"
"2"	107156.5	88900	"Flamingo (Mirandornithes)"	117578	"chr4"
"3"	214709.5	191227	"Flamingo (Mirandornithes)"	51576	"chr4"
"4"	293961.5	269264.5	"Flamingo (Mirandornithes)"	10805	"chr4"
"5"	390117.5	369584	"Flamingo (Mirandornithes)"	156538	"chr4"
"6"	506068.5	685425	"Flamingo (Mirandornithes)"	82084	"chr4"
"7"	565235	623011	"Flamingo (Mirandornithes)"	5510	"chr4"
"8"	605184	549428	"Flamingo (Mirandornithes)"	5724	"chr4"
"9"	664421	809011.5	"Flamingo (Mirandornithes)"	106373	"chr4"
"10"	733468	881732.5	"Flamingo (Mirandornithes)"	7079	"chr4"
"11"	743313.5	892647.5	"Flamingo (Mirandornithes)"	9287	"chr4"
"12"	756476.5	905598.5	"Flamingo (Mirandornithes)"	16057	"chr4"
"13"	783926	932544.5	"Flamingo (Mirandornithes)"	31101	"chr4"
"14"	807769	957073.5	"Flamingo (Mirandornithes)"	15247	"chr4"
"15"	834834.5	986355	"Flamingo (Mirandornithes)"	13770	"chr4"
"16"	846676	998539	"Flamingo (Mirandornithes)"	9674	"chr4"
"17"	856413	1008238	"Flamingo (Mirandornithes)"	8126	"chr4"
"18"	868126.5	1020080.5	"Flamingo (Mirandornithes)"	10417	"chr4"
"19"	881321.5	1031583	"Flamingo (Mirandornithes)"	11162	"chr4"
"20"	896803.5	1047889	"Flamingo (Mirandornithes)"	14688	"chr4"
"21"	941755	1094033.5	"Flamingo (Mirandornithes)"	43643	"chr4"
"22"	1361290.5	1512970.5	"Flamingo (Mirandornithes)"	794185	"chr4"
"23"	1755393	1918899.5	"Flamingo (Mirandornithes)"	5847	"chr4"
"24"	1762785.5	1926408	"Flamingo (Mirandornithes)"	8706	"chr4"
"25"	1783510.5	1946467	"Flamingo (Mirandornithes)"	25496	"chr4"
"26"	1800343	1963075.5	"Flamingo (Mirandornithes)"	7111	"chr4"
"27"	1814470	1977536	"Flamingo (Mirandornithes)"	20870	"chr4"
"28"	1840742.5	2003276	"Flamingo (Mirandornithes)"	30104	"chr4"
"29"	1862258	2024322	"Flamingo (Mirandornithes)"	11572	"chr4"
"30"	1881906.5	2044101.5	"Flamingo (Mirandornithes)"	27121	"chr4"
"31"	1918788.5	2080776	"Flamingo (Mirandornithes)"	45196	"chr4"
"32"	1957552	2118426.5	"Flamingo (Mirandornithes)"	17395	"chr4"
"33"	1992431	2152752	"Flamingo (Mirandornithes)"	42568	"chr4"
"34"	2024184	2184293	"Flamingo (Mirandornithes)"	19422	"chr4"
"35"	2041655.5	2201705.5	"Flamingo (Mirandornithes)"	14279	"chr4"
"36"	2057525	2217700	"Flamingo (Mirandornithes)"	16520	"chr4"
"37"	2069638	2230333.5	"Flamingo (Mirandornithes)"	6997	"chr4"
"38"	2094784	2255990	"Flamingo (Mirandornithes)"	7504	"chr4"
"39"	2109018	2271455	"Flamingo (Mirandornithes)"	10482	"chr4"
"40"	2469258	2638168.5	"Flamingo (Mirandornithes)"	686059	"chr4"
"41"	2821093	2992836.5	"Flamingo (Mirandornithes)"	20363	"chr4"
"42"	2969394.5	3135528.5	"Flamingo (Mirandornithes)"	231925	"chr4"
"43"	3110167	3282442	"Flamingo (Mirandornithes)"	8320	"chr4"
"44"	3130826.5	3303335	"Flamingo (Mirandornithes)"	32484	"chr4"
"45"	3158786	3332194.5	"Flamingo (Mirandornithes)"	17091	"chr4"
"46"	3183800	3357868.5	"Flamingo (Mirandornithes)"	20505	"chr4"
"47"	3204857.5	3379255	"Flamingo (Mirandornithes)"	6210	"chr4"
"48"	3221331	3396445.5	"Flamingo (Mirandornithes)"	14521	"chr4"
"49"	3236104.5	3411495.5	"Flamingo (Mirandornithes)"	14893	"chr4"
"50"	3246230.5	3421894.5	"Flamingo (Mirandornithes)"	5279	"chr4"
"51"	3263801.5	3439797	"Flamingo (Mirandornithes)"	29344	"chr4"
"52"	3282758.5	3458190	"Flamingo (Mirandornithes)"	6758	"chr4"
"53"	3298867	3473791	"Flamingo (Mirandornithes)"	23240	"chr4"
