Gene	clade	C1	C2	Chromosome	start	end	midpoint	q1	q2	q3	dominant_topology	dominant_support	x1	x2	x3	x4	d1	d2	d3
41041	Columbea	Columbimorphae	Phoenicopteriformes	chr4	110000	120000	115000	0.711666666667	0.233333333333	0.055	q1	0.711666666667	4639137	4699407	4721877	4602807	36330	96600	119070
41199	Columbea	Columbimorphae	Phoenicopteriformes	chr4	130000	140000	135000	0.181623931624	0.514957264957	0.303418803419	q2	0.514957264957	12865550	12761654	12827588	12610472	255078	151182	217116
41268	Columbea	Columbimorphae	Phoenicopteriformes	chr4	140000	150000	145000	0.00638977635783	0.955271565495	0.038338658147	q2	0.955271565495	6446381	6149678	6436391	6135692	310689	13986	300699
41494	Columbea	Columbimorphae	Phoenicopteriformes	chr4	170000	180000	175000	0.0225806451613	0.954838709677	0.0225806451613	q2	0.954838709677	8443883	8187251	8443883	8174819	269064	12432	269064
41568	Columbea	Columbimorphae	Phoenicopteriformes	chr4	180000	190000	185000	0.826923076923	0.169871794872	0.00320512820513	q1	0.826923076923	11792070	11996865	12048813	11738124	53946	258741	310689
41644	Columbea	Columbimorphae	Phoenicopteriformes	chr4	190000	200000	195000	0.530448717949	0.434294871795	0.0352564102564	q1	0.530448717949	5524310	5550950	5661506	5394218	130092	156732	267288
41714	Columbea	Columbimorphae	Phoenicopteriformes	chr4	200000	210000	205000	0.436564223798	0.00788022064618	0.555555555556	q3	0.555555555556	4087898	4205402	4055282	3933458	154440	271944	121824
41776	Columbea	Columbimorphae	Phoenicopteriformes	chr4	210000	220000	215000	0.761513157895	0.129934210526	0.108552631579	q1	0.761513157895	10024300	10079596	10081468	10003420	20880	76176	78048
41844	Columbea	Columbimorphae	Phoenicopteriformes	chr4	220000	230000	225000	0.423564504101	0.0559284116331	0.520507084265	q3	0.520507084265	2835869	2886155	2822609	2757023	78846	129132	65586
41903	Columbea	Columbimorphae	Phoenicopteriformes	chr4	230000	240000	235000	0.357605177994	0.600323624595	0.042071197411	q2	0.600323624595	7793093	7726493	7879673	7616825	176268	109668	262848
41967	Columbea	Columbimorphae	Phoenicopteriformes	chr4	240000	250000	245000	0.0954022988506	0.701149425287	0.203448275862	q2	0.701149425287	7760218	7646386	7739914	7590226	169992	56160	149688
42118	Columbea	Columbimorphae	Phoenicopteriformes	chr4	260000	270000	265000	0.998225062123	0.0010649627263	0.00070997515087	q1	0.998225062123	1003923	1315722	1315833	1003368	555	312354	312465
42457	Columbea	Columbimorphae	Phoenicopteriformes	chr4	300000	310000	305000	0.222222222222	0.777777777778	0	q2	0.777777777778	2237835	2209125	2249319	2197641	40194	11484	51678
42527	Columbea	Columbimorphae	Phoenicopteriformes	chr4	310000	320000	315000	0.324	0.24	0.436	q3	0.436	1699511	1705559	1691447	1650839	48672	54720	40608
42598	Columbea	Columbimorphae	Phoenicopteriformes	chr4	320000	330000	325000	0.429796355841	0.505894962487	0.064308681672	q2	0.505894962487	15799598	15775955	15913151	15622442	177156	153513	290709
42641	Columbea	Columbimorphae	Phoenicopteriformes	chr4	330000	340000	335000	0.795284030011	0.112182922472	0.092533047517	q1	0.795284030011	12176983	12389215	12395320	12113380	63603	275835	281940
42756	Columbea	Columbimorphae	Phoenicopteriformes	chr4	350000	360000	355000	0.451276519238	0.361380798274	0.187342682488	q1	0.451276519238	13920717	13948467	14002191	13751331	169386	197136	250860
42824	Columbea	Columbimorphae	Phoenicopteriformes	chr4	360000	370000	365000	0.989766081871	0.00657894736842	0.00365497076023	q1	0.989766081871	7943453	8242043	8242931	7940345	3108	301698	302586
42886	Columbea	Columbimorphae	Phoenicopteriformes	chr4	370000	380000	375000	0	1	0	q2	1	5255817	5137827	5255817	5137827	117990	0	117990
42965	Columbea	Columbimorphae	Phoenicopteriformes	chr4	380000	390000	385000	0	0.882352941176	0.117647058824	q2	0.882352941176	8652790	8477830	8629462	8454502	198288	23328	174960
43032	Columbea	Columbimorphae	Phoenicopteriformes	chr4	390000	400000	395000	0.718253968254	0.237698412698	0.0440476190476	q1	0.718253968254	6520234	6592894	6622174	6477634	42600	115260	144540
43103	Columbea	Columbimorphae	Phoenicopteriformes	chr4	400000	410000	405000	0.318032786885	0.0786885245902	0.603278688525	q3	0.603278688525	7049667	7112739	6974499	6869955	179712	242784	104544
43301	Columbea	Columbimorphae	Phoenicopteriformes	chr4	420000	430000	425000	0.517204301075	0.0200716845878	0.462724014337	q1	0.517204301075	9174702	9316176	9190206	9037308	137394	278868	152898
43771	Columbea	Columbimorphae	Phoenicopteriformes	chr4	480000	490000	485000	0.569625407166	0.3082247557	0.122149837134	q1	0.569625407166	12829833	12901095	12951822	12712506	117327	188589	239316
43970	Columbea	Columbimorphae	Phoenicopteriformes	chr4	510000	520000	515000	0.931537598204	0.0538720538721	0.0145903479237	q1	0.931537598204	11398334	11567246	11574806	11385158	13176	182088	189648
44055	Columbea	Columbimorphae	Phoenicopteriformes	chr4	520000	530000	525000	0.140410958904	0.64897260274	0.210616438356	q2	0.64897260274	3655764	3593394	3647154	3550344	105420	43050	96810
