consensus_breakpoint_id	reference_position	min_position	max_position	n_species_support	species_support	mean_score	median_score	evidence_types	robust_species_count	parameter_recovery_fraction	confidence_class	source_breakpoint_ids
DSB_001	1582350	1582350	1582350	1	Dove	7.89141453343	7.89141453343	gap_discrepancy,order_reversal,orientation_switch	1	0.666666666667	species_specific	Dove_BP001
DSB_002	1961759	1938936	2042648	5	Stork,Flamingo,Dove,Sandgrouse,Turaco	10.4	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	5	1	strong_consensus	Stork_BP001;Sandgrouse_BP001;Flamingo_BP001;Turaco_BP001;Dove_BP002
DSB_003	5161408	5161408	5161408	1	Dove	8	8	gap_discrepancy,large_query_jump,order_reversal	1	1	species_specific	Dove_BP003
DSB_004	8704428	8704428	8704428	1	Dove	9.72445439963	9.72445439963	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	1	species_specific	Dove_BP004
DSB_005	9483673	9400482	9533074	5	Stork,Flamingo,Dove,Sandgrouse,Turaco	8.6	8	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	5	1	strong_consensus	Dove_BP005;Stork_BP002;Turaco_BP002;Sandgrouse_BP002;Flamingo_BP002
DSB_006	10975978	10955480	11018540	5	Stork,Dove,Sandgrouse,Turaco,Cuckoo	8	8	gap_discrepancy,large_query_jump,order_reversal	5	1	strong_consensus	Dove_BP006;Stork_BP003;Sandgrouse_BP003;Turaco_BP003;Cuckoo_BP001
DSB_007	11304692	11304692	11304692	1	Cuckoo	6.36723855365	6.36723855365	gap_discrepancy,large_query_jump,order_reversal	1	0.469135802469	species_specific	Cuckoo_BP002
DSB_008	12214254	12214254	12214254	1	Cuckoo	9.52887899656	9.52887899656	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	1	species_specific	Cuckoo_BP003
DSB_009	12886511	12886511	12886511	1	Dove	11	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	0.666666666667	species_specific	Dove_BP007
DSB_010	14318518	14318518	14318518	1	Cuckoo	10.1217875145	10.1217875145	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	1	species_specific	Cuckoo_BP004
DSB_011	16491814	16491814	16491814	1	Dove	8	8	gap_discrepancy,large_query_jump,order_reversal	1	1	species_specific	Dove_BP008
DSB_012	18036264	18036264	18036264	1	Dove	11	11	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	1	1	species_specific	Dove_BP009
DSB_013	19760323	19759888	19762179	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	6.5	6.5	chromosome_switch,orientation_switch	6	0.888888888889	strong_consensus	Stork_BP004;Flamingo_BP003;Sandgrouse_BP004;Turaco_BP004;Cuckoo_BP005;Dove_BP010
DSB_014	25213001	25212948	25213032	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	6.03252672817	6.03543991342	order_reversal,orientation_switch	6	0.777777777778	strong_consensus	Sandgrouse_BP005;Cuckoo_BP006;Dove_BP011;Flamingo_BP004;Turaco_BP005;Stork_BP005
DSB_015	25558537	25555552	25563228	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	10	11	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	0.666666666667	strong_consensus	Flamingo_BP005;Stork_BP006;Cuckoo_BP007;Sandgrouse_BP006;Dove_BP012;Turaco_BP006
DSB_016	33234187	33233680	33234418	2	Sandgrouse,Turaco	8	8	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	2	1	moderate_consensus	Sandgrouse_BP007;Turaco_BP007
DSB_017	34115833	34021636	34232832	4	Stork,Flamingo,Turaco,Cuckoo	8.42857142857	8	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	4	0.962962962963	strong_consensus	Cuckoo_BP008;Flamingo_BP006;Stork_BP007;Turaco_BP008;Cuckoo_BP009;Flamingo_BP007;Stork_BP008
DSB_018	34741919	34741919	34741919	1	Dove	8.94695886325	8.94695886325	gap_discrepancy,order_reversal,orientation_switch	1	0.79012345679	species_specific	Dove_BP013
DSB_019	35025779	35025574	35025868	4	Stork,Flamingo,Sandgrouse,Cuckoo	8	8	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	4	0.62962962963	strong_consensus	Cuckoo_BP010;Stork_BP009;Flamingo_BP008;Sandgrouse_BP008
DSB_020	35331645	35331645	35331645	1	Sandgrouse	6.07635268429	6.07635268429	order_reversal,orientation_switch	1	0.444444444444	species_specific	Sandgrouse_BP009
DSB_021	37249106	37215807	37261197	4	Stork,Dove,Sandgrouse,Cuckoo	9.38234489777	9.3497919529	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	4	1	strong_consensus	Dove_BP014;Sandgrouse_BP010;Cuckoo_BP011;Stork_BP010
DSB_022	39231949	39215700	39241060	6	Stork,Flamingo,Dove,Sandgrouse,Turaco,Cuckoo	8.5	8	chromosome_switch,gap_discrepancy,large_query_jump,order_reversal,orientation_switch	6	1	strong_consensus	Sandgrouse_BP011;Cuckoo_BP012;Flamingo_BP009;Dove_BP015;Turaco_BP009;Stork_BP011
DSB_023	42267283	42261258	42273326	2	Stork,Dove	10.1319039821	10.1319039821	gap_discrepancy,large_query_jump,order_reversal,orientation_switch	2	0.666666666667	moderate_consensus	Dove_BP016;Stork_BP012
