species	structural_interval_id	reference_chrom	start	end	length_bp	event_type	n_blocks	evidence	source	confidence_or_status	query_chrom	query_start	query_end	query_chrom_count	structural_analysis_reference	main_coordinate_reference
Stork	SI_Stork_01	chr4	25559924	33188482	7628558	inversion	372	published maf2synteny outlier blocks; query_chroms=pri.CM030196.1:372; orientations=+:372	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030196.1	66796016	75467296	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Stork	SI_Stork_02	chr4	34238392	34593634	355242	inversion	7	published maf2synteny outlier blocks; query_chroms=pri.CM030196.1:7; orientations=+:7	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030196.1	75525557	75958180	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Stork	SI_Stork_03	chr4	34595896	34979864	383968	reordered_block	8	published maf2synteny outlier blocks; query_chroms=pri.CM030196.1:8; orientations=+:8	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030196.1	82164817	82619210	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Stork	SI_Stork_04	chr4	44876564	57120130	12243566	unknown	372	published maf2synteny outlier blocks; query_chroms=pri.CM030196.1:372; orientations=+:372	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030196.1	75964555	85500792	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Stork	SI_Stork_05	chr4	45619857	51779869	6160012	inversion	143	published maf2synteny outlier blocks; query_chroms=pri.CM030196.1:143; orientations=+:143	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030196.1	60750296	66711968	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Stork	SI_Stork_06	chr4	49165617	49618678	453061	inversion	11	published maf2synteny outlier blocks; query_chroms=pri.CM030196.1:11; orientations=+:11	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.CM030196.1	50603936	51219009	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Flamingo	SI_Flamingo_01	chr4	25559924	33188482	7628558	inversion	351	published maf2synteny outlier blocks; query_chroms=pri.chr4:351; orientations=+:2,-:349	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr4	66995085	75522256	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Flamingo	SI_Flamingo_02	chr4	34238392	34578004	339612	inversion	19	published maf2synteny outlier blocks; query_chroms=pri.chr4:19; orientations=-:19	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr4	75595774	76009500	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Flamingo	SI_Flamingo_03	chr4	34595896	34979864	383968	reordered_block	9	published maf2synteny outlier blocks; query_chroms=pri.chr4:9; orientations=+:5,-:4	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr4	61026446	61490887	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
Flamingo	SI_Flamingo_04	chr4	44742091	51777474	7035383	unknown	239	published maf2synteny outlier blocks; query_chroms=pri.chr4:239; orientations=+:221,-:18	rearrangements/outlier-regions-by-maf2synteny.tsv	published_structural_region_boundary_not_nucleotide_resolved	pri.chr4	57314230	66921512	1	GCA_017639555.1_bCicMag1.pri CM030196.1	GCF_000002315.5_GalGal6.chr4
