segment_id	start	end	length_bp	left_breakpoint_id	right_breakpoint_id
inclusive_SEG_001	1	1582350	1582350	chromosome_start	DSB_001
inclusive_SEG_002	1582351	1949860	367510	DSB_001	DSB_002
inclusive_SEG_003	1949861	5161408	3211548	DSB_002	DSB_003
inclusive_SEG_004	5161409	8704428	3543020	DSB_003	DSB_004
inclusive_SEG_005	8704429	9504880	800452	DSB_004	DSB_005
inclusive_SEG_006	9504881	10974030	1469150	DSB_005	DSB_006
inclusive_SEG_007	10974031	11304692	330662	DSB_006	DSB_007
inclusive_SEG_008	11304693	12214254	909562	DSB_007	DSB_008
inclusive_SEG_009	12214255	12886511	672257	DSB_008	DSB_009
inclusive_SEG_010	12886512	14318518	1432007	DSB_009	DSB_010
inclusive_SEG_011	14318519	16491814	2173296	DSB_010	DSB_011
inclusive_SEG_012	16491815	18036264	1544450	DSB_011	DSB_012
inclusive_SEG_013	18036265	19760078	1723814	DSB_012	DSB_013
inclusive_SEG_014	19760079	25213019	5452941	DSB_013	DSB_014
inclusive_SEG_015	25213020	25559087	346068	DSB_014	DSB_015
inclusive_SEG_016	25559088	33234049	7674962	DSB_015	DSB_016
inclusive_SEG_017	33234050	34021640	787591	DSB_016	DSB_017
inclusive_SEG_018	34021641	34232794	211154	DSB_017	DSB_018
inclusive_SEG_019	34232795	34741919	509125	DSB_018	DSB_019
inclusive_SEG_020	34741920	35025837	283918	DSB_019	DSB_020
inclusive_SEG_021	35025838	35331645	305808	DSB_020	DSB_021
inclusive_SEG_022	35331646	37255236	1923591	DSB_021	DSB_022
inclusive_SEG_023	37255237	39237022	1981786	DSB_022	DSB_023
inclusive_SEG_024	39237023	42267292	3030270	DSB_023	DSB_024
inclusive_SEG_025	42267293	44647530	2380238	DSB_024	DSB_025
inclusive_SEG_026	44647531	45658664	1011134	DSB_025	DSB_026
inclusive_SEG_027	45658665	46422770	764106	DSB_026	DSB_027
inclusive_SEG_028	46422771	47143089	720319	DSB_027	DSB_028
inclusive_SEG_029	47143090	47228924	85835	DSB_028	DSB_029
inclusive_SEG_030	47228925	49159743	1930819	DSB_029	DSB_030
inclusive_SEG_031	49159744	49624080	464337	DSB_030	DSB_031
inclusive_SEG_032	49624081	50085260	461180	DSB_031	DSB_032
inclusive_SEG_033	50085261	50410378	325118	DSB_032	DSB_033
inclusive_SEG_034	50410379	50989362	578984	DSB_033	DSB_034
inclusive_SEG_035	50989363	51570722	581360	DSB_034	DSB_035
inclusive_SEG_036	51570723	51789124	218402	DSB_035	DSB_036
inclusive_SEG_037	51789125	55393543	3604419	DSB_036	DSB_037
inclusive_SEG_038	55393544	55750019	356476	DSB_037	DSB_038
inclusive_SEG_039	55750020	56712451	962432	DSB_038	DSB_039
inclusive_SEG_040	56712452	57203613	491162	DSB_039	DSB_040
inclusive_SEG_041	57203614	58171516	967903	DSB_040	DSB_041
inclusive_SEG_042	58171517	59982754	1811238	DSB_041	DSB_042
inclusive_SEG_043	59982755	61035423	1052669	DSB_042	DSB_043
inclusive_SEG_044	61035424	91310470	30275047	DSB_043	chromosome_end
