clade	merged_change_point_id	representative_position	cluster_min_position	cluster_max_position	cluster_span_bp	merge_distance_bp	n_raw_change_points	contributing_raw_change_point_ids	representative_score	span_valid
Columbea	Columbea_binary_segmentation_001	25025000	25025000	25025000	0	200000	1	Columbea_binary_segmentation_raw_001	73.4081862381	True
Columbea	Columbea_binary_segmentation_002	34505000	34505000	34505000	0	200000	1	Columbea_binary_segmentation_raw_002	143.517790965	True
Columbea	Columbea_binary_segmentation_003	44135000	44135000	44135000	0	200000	1	Columbea_binary_segmentation_raw_003	230.850910663	True
Columbea	Columbea_binary_segmentation_004	56825000	56825000	56825000	0	200000	1	Columbea_binary_segmentation_raw_004	88.5804297461	True
N61	N61_binary_segmentation_001	25015000	25015000	25015000	0	200000	1	N61_binary_segmentation_raw_001	72.288289036	True
N61	N61_binary_segmentation_002	34505000	34505000	34505000	0	200000	1	N61_binary_segmentation_raw_002	138.135300498	True
N61	N61_binary_segmentation_003	44135000	44135000	44135000	0	200000	1	N61_binary_segmentation_raw_003	241.799884408	True
N61	N61_binary_segmentation_004	56855000	56855000	56855000	0	200000	1	N61_binary_segmentation_raw_004	107.75034814	True
N62	N62_binary_segmentation_001	25025000	25025000	25025000	0	200000	1	N62_binary_segmentation_raw_001	238.83320857	True
N62	N62_binary_segmentation_002	32725000	32725000	32725000	0	200000	1	N62_binary_segmentation_raw_002	137.272588483	True
N62	N62_binary_segmentation_003	44135000	44135000	44135000	0	200000	1	N62_binary_segmentation_raw_003	78.3499617954	True
N62	N62_binary_segmentation_004	56825000	56825000	56825000	0	200000	1	N62_binary_segmentation_raw_004	109.879855086	True
Columbea	Columbea_rolling_001	17835000	17835000	17835000	0	200000	1	Columbea_rolling_raw_001	0.28163798735	True
Columbea	Columbea_rolling_002	24255000	24255000	24255000	0	200000	1	Columbea_rolling_raw_002	0.278826066889	True
Columbea	Columbea_rolling_003	24795000	24685000	24795000	110000	200000	3	Columbea_rolling_raw_003;Columbea_rolling_raw_004;Columbea_rolling_raw_005	0.625116491507	True
Columbea	Columbea_rolling_004	25035000	25035000	25035000	0	200000	1	Columbea_rolling_raw_006	0.732385211143	True
Columbea	Columbea_rolling_005	32195000	32135000	32195000	60000	200000	2	Columbea_rolling_raw_007;Columbea_rolling_raw_008	0.714831293769	True
Columbea	Columbea_rolling_006	32675000	32675000	32815000	140000	200000	3	Columbea_rolling_raw_009;Columbea_rolling_raw_010;Columbea_rolling_raw_011	0.691235577972	True
Columbea	Columbea_rolling_007	33465000	33465000	33465000	0	200000	1	Columbea_rolling_raw_012	0.709222105132	True
Columbea	Columbea_rolling_008	34505000	34505000	34705000	200000	200000	2	Columbea_rolling_raw_013;Columbea_rolling_raw_014	0.805597475788	True
Columbea	Columbea_rolling_009	34905000	34905000	35045000	140000	200000	4	Columbea_rolling_raw_015;Columbea_rolling_raw_016;Columbea_rolling_raw_017;Columbea_rolling_raw_018	0.448138029627	True
Columbea	Columbea_rolling_010	43725000	43615000	43725000	110000	200000	2	Columbea_rolling_raw_019;Columbea_rolling_raw_020	0.521242730852	True
Columbea	Columbea_rolling_011	44045000	43855000	44045000	190000	200000	3	Columbea_rolling_raw_021;Columbea_rolling_raw_022;Columbea_rolling_raw_023	0.754728143969	True
Columbea	Columbea_rolling_012	44135000	44135000	44135000	0	200000	1	Columbea_rolling_raw_024	0.814818138841	True
Columbea	Columbea_rolling_013	48305000	48185000	48365000	180000	200000	15	Columbea_rolling_raw_025;Columbea_rolling_raw_026;Columbea_rolling_raw_027;Columbea_rolling_raw_028;Columbea_rolling_raw_029;Columbea_rolling_raw_030;Columbea_rolling_raw_031;Columbea_rolling_raw_032;Columbea_rolling_raw_033;Columbea_rolling_raw_034;Columbea_rolling_raw_035;Columbea_rolling_raw_036;Columbea_rolling_raw_037;Columbea_rolling_raw_038;Columbea_rolling_raw_039	0.354930799511	True
Columbea	Columbea_rolling_014	48485000	48395000	48565000	170000	200000	7	Columbea_rolling_raw_040;Columbea_rolling_raw_041;Columbea_rolling_raw_042;Columbea_rolling_raw_043;Columbea_rolling_raw_044;Columbea_rolling_raw_045;Columbea_rolling_raw_046	0.366251182725	True
Columbea	Columbea_rolling_015	48625000	48625000	48625000	0	200000	1	Columbea_rolling_raw_047	0.368975482425	True
Columbea	Columbea_rolling_016	49055000	49055000	49145000	90000	200000	7	Columbea_rolling_raw_048;Columbea_rolling_raw_049;Columbea_rolling_raw_050;Columbea_rolling_raw_051;Columbea_rolling_raw_052;Columbea_rolling_raw_053;Columbea_rolling_raw_054	0.337435041722	True
Columbea	Columbea_rolling_017	49325000	49325000	49525000	200000	200000	5	Columbea_rolling_raw_055;Columbea_rolling_raw_056;Columbea_rolling_raw_057;Columbea_rolling_raw_058;Columbea_rolling_raw_059	0.305104714831	True
Columbea	Columbea_rolling_018	49565000	49565000	49625000	60000	200000	5	Columbea_rolling_raw_060;Columbea_rolling_raw_061;Columbea_rolling_raw_062;Columbea_rolling_raw_063;Columbea_rolling_raw_064	0.305104714831	True
Columbea	Columbea_rolling_019	50005000	49875000	50005000	130000	200000	4	Columbea_rolling_raw_065;Columbea_rolling_raw_066;Columbea_rolling_raw_067;Columbea_rolling_raw_068	0.313162821062	True
Columbea	Columbea_rolling_020	56275000	56215000	56275000	60000	200000	2	Columbea_rolling_raw_069;Columbea_rolling_raw_070	0.301970589077	True
Columbea	Columbea_rolling_021	56825000	56645000	56825000	180000	200000	3	Columbea_rolling_raw_071;Columbea_rolling_raw_072;Columbea_rolling_raw_073	0.650236252395	True
Columbea	Columbea_rolling_022	56935000	56935000	57065000	130000	200000	5	Columbea_rolling_raw_074;Columbea_rolling_raw_075;Columbea_rolling_raw_076;Columbea_rolling_raw_077;Columbea_rolling_raw_078	0.489851731648	True
N61	N61_rolling_001	24395000	24255000	24395000	140000	200000	2	N61_rolling_raw_001;N61_rolling_raw_002	0.529945722477	True
N61	N61_rolling_002	25015000	24915000	25015000	100000	200000	2	N61_rolling_raw_003;N61_rolling_raw_004	0.750171667965	True
N61	N61_rolling_003	25175000	25175000	25215000	40000	200000	2	N61_rolling_raw_005;N61_rolling_raw_006	0.558733014455	True
N61	N61_rolling_004	25395000	25395000	25405000	10000	200000	2	N61_rolling_raw_007;N61_rolling_raw_008	0.229197745418	True
N61	N61_rolling_005	28665000	28615000	28745000	130000	200000	4	N61_rolling_raw_009;N61_rolling_raw_010;N61_rolling_raw_011;N61_rolling_raw_012	0.314681745672	True
N61	N61_rolling_006	28945000	28945000	28955000	10000	200000	2	N61_rolling_raw_013;N61_rolling_raw_014	0.236241617207	True
N61	N61_rolling_007	29725000	29725000	29835000	110000	200000	6	N61_rolling_raw_015;N61_rolling_raw_016;N61_rolling_raw_017;N61_rolling_raw_018;N61_rolling_raw_019;N61_rolling_raw_020	0.314470268323	True
N61	N61_rolling_008	30165000	30165000	30165000	0	200000	1	N61_rolling_raw_021	0.216775532435	True
N61	N61_rolling_009	31985000	31985000	31985000	0	200000	1	N61_rolling_raw_022	0.413694682353	True
N61	N61_rolling_010	32725000	32725000	32725000	0	200000	1	N61_rolling_raw_023	0.629477149725	True
N61	N61_rolling_011	33265000	33265000	33265000	0	200000	1	N61_rolling_raw_024	0.260977219835	True
N61	N61_rolling_012	33515000	33515000	33515000	0	200000	1	N61_rolling_raw_025	0.616393933318	True
