canonical_region_id	normalized_arrangement_state	species_members	n_species	representative_informative_anchor_count	description	representative_anchor_order_signature	representative_orientation_signature
CR_01	A0	Stork	1	75	1 species with equivalent multi-anchor order/orientation in CR_01.	CR_01_A001:75|CR_01_A002:74|CR_01_A003:73|CR_01_A004:72|CR_01_A005:71|CR_01_A006:70|CR_01_A007:69|CR_01_A008:67|CR_01_A009:68|CR_01_A010:66|CR_01_A011:63|CR_01_A012:64|CR_01_A013:65|CR_01_A014:62|CR_01_A015:61|CR_01_A016:60|CR_01_A017:59|CR_01_A018:58|CR_01_A019:57|CR_01_A020:56|CR_01_A021:55|CR_01_A022:54|CR_01_A023:53|CR_01_A024:52|CR_01_A025:51|CR_01_A026:50|CR_01_A027:49|CR_01_A028:48|CR_01_A029:47|CR_01_A030:46|CR_01_A031:45|CR_01_A032:44|CR_01_A033:43|CR_01_A034:42|CR_01_A035:41|CR_01_A036:40|CR_01_A037:39|CR_01_A038:38|CR_01_A039:37|CR_01_A040:36|CR_01_A041:M|CR_01_A042:35|CR_01_A043:34|CR_01_A044:33|CR_01_A045:M|CR_01_A046:32|CR_01_A047:31|CR_01_A048:30|CR_01_A049:29|CR_01_A050:28|CR_01_A051:27|CR_01_A052:26|CR_01_A053:25|CR_01_A054:24|CR_01_A055:23|CR_01_A056:22|CR_01_A057:21|CR_01_A058:20|CR_01_A059:19|CR_01_A060:18|CR_01_A061:17|CR_01_A062:16|CR_01_A063:15|CR_01_A064:14|CR_01_A065:13|CR_01_A066:12|CR_01_A067:11|CR_01_A068:10|CR_01_A069:9|CR_01_A070:8|CR_01_A071:7|CR_01_A072:6|CR_01_A073:5|CR_01_A074:4|CR_01_A075:3|CR_01_A076:2|CR_01_A077:1	CR_01_A001:+|CR_01_A002:+|CR_01_A003:+|CR_01_A004:+|CR_01_A005:+|CR_01_A006:+|CR_01_A007:+|CR_01_A008:+|CR_01_A009:+|CR_01_A010:+|CR_01_A011:+|CR_01_A012:+|CR_01_A013:+|CR_01_A014:+|CR_01_A015:+|CR_01_A016:+|CR_01_A017:+|CR_01_A018:+|CR_01_A019:+|CR_01_A020:+|CR_01_A021:+|CR_01_A022:+|CR_01_A023:+|CR_01_A024:+|CR_01_A025:+|CR_01_A026:+|CR_01_A027:+|CR_01_A028:+|CR_01_A029:+|CR_01_A030:+|CR_01_A031:+|CR_01_A032:+|CR_01_A033:+|CR_01_A034:+|CR_01_A035:+|CR_01_A036:+|CR_01_A037:+|CR_01_A038:+|CR_01_A039:+|CR_01_A040:+|CR_01_A041:?|CR_01_A042:+|CR_01_A043:+|CR_01_A044:+|CR_01_A045:?|CR_01_A046:+|CR_01_A047:+|CR_01_A048:+|CR_01_A049:+|CR_01_A050:+|CR_01_A051:+|CR_01_A052:+|CR_01_A053:+|CR_01_A054:+|CR_01_A055:+|CR_01_A056:+|CR_01_A057:+|CR_01_A058:+|CR_01_A059:+|CR_01_A060:+|CR_01_A061:+|CR_01_A062:+|CR_01_A063:+|CR_01_A064:+|CR_01_A065:+|CR_01_A066:+|CR_01_A067:+|CR_01_A068:+|CR_01_A069:+|CR_01_A070:+|CR_01_A071:+|CR_01_A072:+|CR_01_A073:+|CR_01_A074:+|CR_01_A075:+|CR_01_A076:+|CR_01_A077:+
CR_01	A1	Flamingo	1	74	1 species with equivalent multi-anchor order/orientation in CR_01.	CR_01_A001:74|CR_01_A002:73|CR_01_A003:72|CR_01_A004:71|CR_01_A005:70|CR_01_A006:69|CR_01_A007:68|CR_01_A008:66|CR_01_A009:67|CR_01_A010:65|CR_01_A011:61|CR_01_A012:62|CR_01_A013:63|CR_01_A014:64|CR_01_A015:60|CR_01_A016:58|CR_01_A017:59|CR_01_A018:57|CR_01_A019:56|CR_01_A020:55|CR_01_A021:54|CR_01_A022:53|CR_01_A023:52|CR_01_A024:51|CR_01_A025:50|CR_01_A026:49|CR_01_A027:48|CR_01_A028:47|CR_01_A029:46|CR_01_A030:45|CR_01_A031:44|CR_01_A032:43|CR_01_A033:42|CR_01_A034:41|CR_01_A035:40|CR_01_A036:39|CR_01_A037:38|CR_01_A038:M|CR_01_A039:37|CR_01_A040:36|CR_01_A041:M|CR_01_A042:35|CR_01_A043:34|CR_01_A044:33|CR_01_A045:M|CR_01_A046:32|CR_01_A047:31|CR_01_A048:30|CR_01_A049:29|CR_01_A050:28|CR_01_A051:27|CR_01_A052:26|CR_01_A053:25|CR_01_A054:24|CR_01_A055:23|CR_01_A056:22|CR_01_A057:21|CR_01_A058:20|CR_01_A059:19|CR_01_A060:18|CR_01_A061:17|CR_01_A062:16|CR_01_A063:15|CR_01_A064:14|CR_01_A065:13|CR_01_A066:12|CR_01_A067:11|CR_01_A068:10|CR_01_A069:9|CR_01_A070:8|CR_01_A071:7|CR_01_A072:6|CR_01_A073:5|CR_01_A074:4|CR_01_A075:3|CR_01_A076:2|CR_01_A077:1	CR_01_A001:-|CR_01_A002:-|CR_01_A003:-|CR_01_A004:-|CR_01_A005:-|CR_01_A006:-|CR_01_A007:-|CR_01_A008:-|CR_01_A009:-|CR_01_A010:-|CR_01_A011:-|CR_01_A012:-|CR_01_A013:-|CR_01_A014:-|CR_01_A015:-|CR_01_A016:-|CR_01_A017:-|CR_01_A018:-|CR_01_A019:-|CR_01_A020:-|CR_01_A021:-|CR_01_A022:-|CR_01_A023:-|CR_01_A024:-|CR_01_A025:-|CR_01_A026:+|CR_01_A027:-|CR_01_A028:-|CR_01_A029:-|CR_01_A030:-|CR_01_A031:-|CR_01_A032:-|CR_01_A033:-|CR_01_A034:-|CR_01_A035:-|CR_01_A036:-|CR_01_A037:-|CR_01_A038:?|CR_01_A039:-|CR_01_A040:-|CR_01_A041:?|CR_01_A042:-|CR_01_A043:-|CR_01_A044:-|CR_01_A045:?|CR_01_A046:-|CR_01_A047:-|CR_01_A048:-|CR_01_A049:-|CR_01_A050:-|CR_01_A051:-|CR_01_A052:-|CR_01_A053:-|CR_01_A054:-|CR_01_A055:-|CR_01_A056:-|CR_01_A057:-|CR_01_A058:-|CR_01_A059:-|CR_01_A060:-|CR_01_A061:-|CR_01_A062:-|CR_01_A063:-|CR_01_A064:-|CR_01_A065:-|CR_01_A066:-|CR_01_A067:-|CR_01_A068:-|CR_01_A069:-|CR_01_A070:-|CR_01_A071:-|CR_01_A072:-|CR_01_A073:-|CR_01_A074:-|CR_01_A075:-|CR_01_A076:-|CR_01_A077:-
CR_01	A2	Dove,Turaco	2	69	2 species with equivalent multi-anchor order/orientation in CR_01.	CR_01_A001:1|CR_01_A002:2|CR_01_A003:3|CR_01_A004:4|CR_01_A005:5|CR_01_A006:6|CR_01_A007:7|CR_01_A008:8|CR_01_A009:9|CR_01_A010:10|CR_01_A011:11|CR_01_A012:12|CR_01_A013:13|CR_01_A014:14|CR_01_A015:15|CR_01_A016:16|CR_01_A017:17|CR_01_A018:M|CR_01_A019:18|CR_01_A020:19|CR_01_A021:20|CR_01_A022:21|CR_01_A023:22|CR_01_A024:23|CR_01_A025:M|CR_01_A026:M|CR_01_A027:24|CR_01_A028:25|CR_01_A029:26|CR_01_A030:27|CR_01_A031:28|CR_01_A032:29|CR_01_A033:30|CR_01_A034:31|CR_01_A035:32|CR_01_A036:33|CR_01_A037:34|CR_01_A038:M|CR_01_A039:35|CR_01_A040:36|CR_01_A041:M|CR_01_A042:M|CR_01_A043:37|CR_01_A044:38|CR_01_A045:M|CR_01_A046:39|CR_01_A047:40|CR_01_A048:41|CR_01_A049:42|CR_01_A050:43|CR_01_A051:44|CR_01_A052:45|CR_01_A053:46|CR_01_A054:47|CR_01_A055:M|CR_01_A056:48|CR_01_A057:49|CR_01_A058:50|CR_01_A059:51|CR_01_A060:52|CR_01_A061:53|CR_01_A062:54|CR_01_A063:55|CR_01_A064:56|CR_01_A065:57|CR_01_A066:58|CR_01_A067:59|CR_01_A068:60|CR_01_A069:61|CR_01_A070:62|CR_01_A071:63|CR_01_A072:64|CR_01_A073:65|CR_01_A074:66|CR_01_A075:67|CR_01_A076:68|CR_01_A077:69	CR_01_A001:+|CR_01_A002:+|CR_01_A003:+|CR_01_A004:+|CR_01_A005:+|CR_01_A006:+|CR_01_A007:+|CR_01_A008:+|CR_01_A009:+|CR_01_A010:+|CR_01_A011:+|CR_01_A012:+|CR_01_A013:+|CR_01_A014:+|CR_01_A015:+|CR_01_A016:+|CR_01_A017:+|CR_01_A018:?|CR_01_A019:+|CR_01_A020:+|CR_01_A021:+|CR_01_A022:+|CR_01_A023:+|CR_01_A024:+|CR_01_A025:?|CR_01_A026:?|CR_01_A027:+|CR_01_A028:+|CR_01_A029:+|CR_01_A030:+|CR_01_A031:+|CR_01_A032:+|CR_01_A033:+|CR_01_A034:+|CR_01_A035:+|CR_01_A036:+|CR_01_A037:+|CR_01_A038:?|CR_01_A039:+|CR_01_A040:+|CR_01_A041:?|CR_01_A042:?|CR_01_A043:+|CR_01_A044:+|CR_01_A045:?|CR_01_A046:+|CR_01_A047:+|CR_01_A048:+|CR_01_A049:+|CR_01_A050:+|CR_01_A051:+|CR_01_A052:+|CR_01_A053:+|CR_01_A054:+|CR_01_A055:?|CR_01_A056:+|CR_01_A057:+|CR_01_A058:+|CR_01_A059:+|CR_01_A060:+|CR_01_A061:+|CR_01_A062:+|CR_01_A063:+|CR_01_A064:+|CR_01_A065:+|CR_01_A066:+|CR_01_A067:+|CR_01_A068:+|CR_01_A069:+|CR_01_A070:+|CR_01_A071:+|CR_01_A072:+|CR_01_A073:+|CR_01_A074:+|CR_01_A075:+|CR_01_A076:+|CR_01_A077:+
CR_01	A3	Sandgrouse	1	72	1 species with equivalent multi-anchor order/orientation in CR_01.	CR_01_A001:72|CR_01_A002:71|CR_01_A003:M|CR_01_A004:70|CR_01_A005:69|CR_01_A006:68|CR_01_A007:67|CR_01_A008:65|CR_01_A009:66|CR_01_A010:64|CR_01_A011:63|CR_01_A012:62|CR_01_A013:61|CR_01_A014:60|CR_01_A015:59|CR_01_A016:58|CR_01_A017:57|CR_01_A018:56|CR_01_A019:55|CR_01_A020:54|CR_01_A021:53|CR_01_A022:52|CR_01_A023:51|CR_01_A024:50|CR_01_A025:49|CR_01_A026:48|CR_01_A027:47|CR_01_A028:M|CR_01_A029:46|CR_01_A030:M|CR_01_A031:45|CR_01_A032:44|CR_01_A033:43|CR_01_A034:42|CR_01_A035:41|CR_01_A036:40|CR_01_A037:39|CR_01_A038:M|CR_01_A039:38|CR_01_A040:37|CR_01_A041:M|CR_01_A042:36|CR_01_A043:35|CR_01_A044:34|CR_01_A045:33|CR_01_A046:32|CR_01_A047:31|CR_01_A048:30|CR_01_A049:29|CR_01_A050:28|CR_01_A051:27|CR_01_A052:26|CR_01_A053:25|CR_01_A054:24|CR_01_A055:23|CR_01_A056:22|CR_01_A057:21|CR_01_A058:20|CR_01_A059:19|CR_01_A060:18|CR_01_A061:17|CR_01_A062:16|CR_01_A063:15|CR_01_A064:14|CR_01_A065:13|CR_01_A066:12|CR_01_A067:11|CR_01_A068:10|CR_01_A069:9|CR_01_A070:8|CR_01_A071:7|CR_01_A072:6|CR_01_A073:5|CR_01_A074:4|CR_01_A075:3|CR_01_A076:2|CR_01_A077:1	CR_01_A001:+|CR_01_A002:+|CR_01_A003:?|CR_01_A004:+|CR_01_A005:+|CR_01_A006:+|CR_01_A007:+|CR_01_A008:+|CR_01_A009:+|CR_01_A010:+|CR_01_A011:+|CR_01_A012:+|CR_01_A013:+|CR_01_A014:+|CR_01_A015:+|CR_01_A016:+|CR_01_A017:+|CR_01_A018:+|CR_01_A019:+|CR_01_A020:+|CR_01_A021:+|CR_01_A022:+|CR_01_A023:+|CR_01_A024:+|CR_01_A025:+|CR_01_A026:+|CR_01_A027:+|CR_01_A028:?|CR_01_A029:+|CR_01_A030:?|CR_01_A031:+|CR_01_A032:+|CR_01_A033:+|CR_01_A034:+|CR_01_A035:+|CR_01_A036:+|CR_01_A037:+|CR_01_A038:?|CR_01_A039:+|CR_01_A040:+|CR_01_A041:?|CR_01_A042:+|CR_01_A043:+|CR_01_A044:+|CR_01_A045:+|CR_01_A046:+|CR_01_A047:+|CR_01_A048:+|CR_01_A049:+|CR_01_A050:+|CR_01_A051:+|CR_01_A052:+|CR_01_A053:+|CR_01_A054:+|CR_01_A055:+|CR_01_A056:+|CR_01_A057:+|CR_01_A058:+|CR_01_A059:+|CR_01_A060:+|CR_01_A061:+|CR_01_A062:+|CR_01_A063:+|CR_01_A064:+|CR_01_A065:+|CR_01_A066:+|CR_01_A067:+|CR_01_A068:+|CR_01_A069:+|CR_01_A070:+|CR_01_A071:+|CR_01_A072:+|CR_01_A073:+|CR_01_A074:+|CR_01_A075:+|CR_01_A076:+|CR_01_A077:+
CR_01	A4	Cuckoo	1	69	1 species with equivalent multi-anchor order/orientation in CR_01.	CR_01_A001:69|CR_01_A002:68|CR_01_A003:67|CR_01_A004:66|CR_01_A005:M|CR_01_A006:65|CR_01_A007:64|CR_01_A008:61|CR_01_A009:63|CR_01_A010:62|CR_01_A011:60|CR_01_A012:59|CR_01_A013:58|CR_01_A014:57|CR_01_A015:56|CR_01_A016:55|CR_01_A017:54|CR_01_A018:53|CR_01_A019:52|CR_01_A020:51|CR_01_A021:50|CR_01_A022:49|CR_01_A023:M|CR_01_A024:48|CR_01_A025:47|CR_01_A026:X|CR_01_A027:46|CR_01_A028:45|CR_01_A029:44|CR_01_A030:43|CR_01_A031:42|CR_01_A032:41|CR_01_A033:40|CR_01_A034:39|CR_01_A035:38|CR_01_A036:37|CR_01_A037:36|CR_01_A038:M|CR_01_A039:35|CR_01_A040:34|CR_01_A041:M|CR_01_A042:33|CR_01_A043:32|CR_01_A044:31|CR_01_A045:M|CR_01_A046:30|CR_01_A047:29|CR_01_A048:28|CR_01_A049:27|CR_01_A050:26|CR_01_A051:25|CR_01_A052:24|CR_01_A053:23|CR_01_A054:22|CR_01_A055:21|CR_01_A056:20|CR_01_A057:19|CR_01_A058:18|CR_01_A059:17|CR_01_A060:16|CR_01_A061:15|CR_01_A062:14|CR_01_A063:13|CR_01_A064:12|CR_01_A065:M|CR_01_A066:11|CR_01_A067:10|CR_01_A068:9|CR_01_A069:8|CR_01_A070:7|CR_01_A071:6|CR_01_A072:5|CR_01_A073:M|CR_01_A074:4|CR_01_A075:3|CR_01_A076:2|CR_01_A077:1	CR_01_A001:-|CR_01_A002:-|CR_01_A003:-|CR_01_A004:-|CR_01_A005:?|CR_01_A006:-|CR_01_A007:-|CR_01_A008:-|CR_01_A009:-|CR_01_A010:-|CR_01_A011:-|CR_01_A012:-|CR_01_A013:-|CR_01_A014:-|CR_01_A015:-|CR_01_A016:-|CR_01_A017:-|CR_01_A018:-|CR_01_A019:-|CR_01_A020:-|CR_01_A021:-|CR_01_A022:-|CR_01_A023:?|CR_01_A024:-|CR_01_A025:-|CR_01_A026:!|CR_01_A027:-|CR_01_A028:-|CR_01_A029:-|CR_01_A030:-|CR_01_A031:-|CR_01_A032:-|CR_01_A033:-|CR_01_A034:-|CR_01_A035:-|CR_01_A036:-|CR_01_A037:-|CR_01_A038:?|CR_01_A039:-|CR_01_A040:-|CR_01_A041:?|CR_01_A042:-|CR_01_A043:-|CR_01_A044:-|CR_01_A045:?|CR_01_A046:-|CR_01_A047:-|CR_01_A048:-|CR_01_A049:-|CR_01_A050:-|CR_01_A051:-|CR_01_A052:-|CR_01_A053:-|CR_01_A054:-|CR_01_A055:-|CR_01_A056:-|CR_01_A057:-|CR_01_A058:-|CR_01_A059:-|CR_01_A060:-|CR_01_A061:-|CR_01_A062:-|CR_01_A063:-|CR_01_A064:-|CR_01_A065:?|CR_01_A066:-|CR_01_A067:-|CR_01_A068:-|CR_01_A069:-|CR_01_A070:-|CR_01_A071:-|CR_01_A072:-|CR_01_A073:?|CR_01_A074:-|CR_01_A075:-|CR_01_A076:-|CR_01_A077:-
CR_02	A0	Stork	1	4	1 species with equivalent multi-anchor order/orientation in CR_02.	CR_02_A001:4|CR_02_A002:3|CR_02_A003:1|CR_02_A004:2	CR_02_A001:+|CR_02_A002:+|CR_02_A003:+|CR_02_A004:+
CR_02	A1	Flamingo	1	4	1 species with equivalent multi-anchor order/orientation in CR_02.	CR_02_A001:4|CR_02_A002:3|CR_02_A003:2|CR_02_A004:1	CR_02_A001:-|CR_02_A002:-|CR_02_A003:-|CR_02_A004:-
CR_02	A2	Dove	1	4	1 species with equivalent multi-anchor order/orientation in CR_02.	CR_02_A001:1|CR_02_A002:2|CR_02_A003:3|CR_02_A004:4	CR_02_A001:+|CR_02_A002:+|CR_02_A003:+|CR_02_A004:+
CR_02	A3	Sandgrouse	1	4	1 species with equivalent multi-anchor order/orientation in CR_02.	CR_02_A001:4|CR_02_A002:3|CR_02_A003:2|CR_02_A004:1	CR_02_A001:+|CR_02_A002:+|CR_02_A003:+|CR_02_A004:+
CR_02	A4	Turaco	1	4	1 species with equivalent multi-anchor order/orientation in CR_02.	CR_02_A001:1|CR_02_A002:2|CR_02_A003:3|CR_02_A004:4	CR_02_A001:+|CR_02_A002:+|CR_02_A003:+|CR_02_A004:+
