consensus_breakpoint_id	position	n_species_support	confidence_class	recovery_fraction	nearest_Columbea_bp	nearest_N61_bp	nearest_N62_bp	n_clades_within_100kb	n_clades_within_250kb	n_clades_within_500kb
DSB_002	1949860	5	strong_consensus	1	15885140	22445140	22305140	0	0	0
DSB_005	9504880	5	strong_consensus	1	8330120	14890120	14750120	0	0	0
DSB_006	10974030	5	strong_consensus	1	6860970	13420970	13280970	0	0	0
DSB_013	19760078	6	strong_consensus	0.888888888889	1925078	4634922	4494922	0	0	0
DSB_014	25213019	6	strong_consensus	0.777777777778	178019	38019	121981	1	3	3
DSB_015	25559087	6	strong_consensus	0.666666666667	524087	164087	224087	0	2	2
DSB_016	33234049	2	moderate_consensus	1	230951	30951	330951	1	2	3
DSB_017	34021640	4	strong_consensus	1	483360	506640	456640	0	0	2
DSB_018	34232794	3	moderate_consensus	0.62962962963	272206	302206	282206	0	0	3
DSB_020	35025837	4	strong_consensus	0.666666666667	120837	60837	240837	1	3	3
DSB_022	37255236	4	strong_consensus	1	2350236	40236	1850236	1	1	1
DSB_023	39237022	6	strong_consensus	1	4332022	2022022	3832022	0	0	0
DSB_024	42267292	2	moderate_consensus	0.666666666667	1457708	1407708	1867708	0	0	0
DSB_025	44647530	5	strong_consensus	1	512530	512530	252530	0	0	1
DSB_026	45658664	6	strong_consensus	1	1523664	1523664	1263664	0	0	0
DSB_027	46422770	5	strong_consensus	1	1882230	1872230	2027770	0	0	0
DSB_028	47143089	3	moderate_consensus	1	1161911	1151911	1421911	0	0	0
DSB_030	49159743	2	moderate_consensus	0.814814814815	104743	534743	594743	0	1	1
DSB_031	49624080	6	strong_consensus	1	59080	380920	1059080	1	1	2
DSB_033	50410378	3	moderate_consensus	1	405378	405378	1845378	0	0	2
DSB_034	50989362	6	strong_consensus	1	984362	984362	2424362	0	0	0
DSB_036	51789124	3	moderate_consensus	1	1784124	1784124	3224124	0	0	0
DSB_040	57203613	2	moderate_consensus	1	268613	78613	128613	1	2	3
DSB_041	58171516	5	strong_consensus	1	1236516	1046516	1096516	0	0	0
DSB_042	59982754	3	moderate_consensus	1	3047754	2857754	2012246	0	0	0
DSB_043	61035423	3	moderate_consensus	1	4100423	3910423	959577	0	0	0
