consensus_breakpoint_id	reference_position	sensitivity_breakpoint_id	median_reference_position	min_position	max_position	recovered_runs	total_parameter_runs	recovery_fraction	position_sd_or_range	median_species_support	confidence_stability	modal_confidence_class
DSB_001	1582350	DSB_001	1563412	1556691	1582350	390	486	0.802469135802	sd=12101;range=25659	2	0.492307692308	species_specific
DSB_002	1949860	DSB_002	1949860	1949551	2042648	486	486	1	sd=39448.7;range=93097	4	0.764150943396	strong_consensus
DSB_003	5161408	DSB_003	5161408	5161408	5161408	486	486	1	sd=0;range=0	1	1	species_specific
DSB_004	8704428	DSB_004	8704428	8704428	8704428	486	486	1	sd=0;range=0	1	1	species_specific
DSB_005	9504880	DSB_005	9504880	9400482	9601740	486	486	1	sd=54787.1;range=201258	4.5	0.710526315789	strong_consensus
DSB_006	10974030	DSB_006	10974030	10965276	10974030	486	486	1	sd=3997.28;range=8754	5	1	strong_consensus
DSB_007	11304692	DSB_007	11304692	11304692	11304692	228	486	0.469135802469	sd=0;range=0	1	1	species_specific
DSB_008	12214254	DSB_008	12214254	12214254	12214254	486	486	1	sd=0;range=0	1	1	species_specific
DSB_009	12886511	DSB_009	12886511	12886511	12886511	324	486	0.666666666667	sd=0;range=0	1	1	species_specific
DSB_010	14318518	DSB_010	14318518	14318518	14318518	486	486	1	sd=0;range=0	1	1	species_specific
DSB_011	16491814	DSB_011	16491814	16491814	16491814	486	486	1	sd=0;range=0	1	1	species_specific
DSB_012	18036264	DSB_012	18036264	18036264	18036264	486	486	1	sd=0;range=0	1	1	species_specific
DSB_013	19760078	DSB_013	19760078	19760078	19761128	432	486	0.888888888889	sd=209.818;range=1050	6	0.833333333333	strong_consensus
DSB_014	25213019	DSB_014	25213019	25213019	25213030	378	486	0.777777777778	sd=5.44359;range=11	6	0.571428571429	strong_consensus
DSB_015	25559087	DSB_015	25559087	25559087	25559087	324	486	0.666666666667	sd=0;range=0	6	1	strong_consensus
DSB_016	33234049	DSB_016	33234049	33234049	33234068	486	486	1	sd=8.95669;range=19	2	0.666666666667	moderate_consensus
DSB_017	34021640	DSB_017	34021640	34021640	34037831	486	486	1	sd=7524.87;range=16191	4	1	strong_consensus
DSB_018	34232794	DSB_018	34232784	34037684	34232794	306	486	0.62962962963	sd=96491.6;range=195110	4	0.380952380952	strong_consensus
DSB_019	34741919	DSB_019	34741919	34618627	34746102	396	486	0.814814814815	sd=25483.1;range=127475	1	0.695652173913	species_specific
DSB_020	35025837	DSB_020	35025837	35025766	35025838	324	486	0.666666666667	sd=9.61819;range=72	5	1	strong_consensus
DSB_021	35331645	DSB_021	35331645	35331645	35346032	306	486	0.62962962963	sd=6782.1;range=14387	1	0.666666666667	species_specific
DSB_022	37255236	DSB_022	37260642	37255236	37261214	486	486	1	sd=2623.63;range=5978	4	1	strong_consensus
DSB_023	39237022	DSB_023	39237022	39237022	39237022	486	486	1	sd=0;range=0	6	1	strong_consensus
DSB_024	42267292	DSB_024	42267292	42267292	42267292	324	486	0.666666666667	sd=0;range=0	2	1	moderate_consensus
DSB_025	44647530	DSB_025	44647530	44647530	44647530	486	486	1	sd=0;range=0	5	0.740740740741	strong_consensus
DSB_026	45658664	DSB_026	45658664	45626943	45721436	486	486	1	sd=30042.1;range=94493	5	0.582524271845	strong_consensus
DSB_027	46422770	DSB_027	46422770	46258704	46422874	486	486	1	sd=60901.4;range=164170	4	0.680412371134	strong_consensus
DSB_028	47143089	DSB_028	47163882	47014086	47228924	486	486	1	sd=73865.2;range=214838	3	0.409090909091	moderate_consensus
DSB_029	47228924	DSB_029	47163882	47079156	47228924	486	486	1	sd=44250.7;range=149768	3	0.228571428571	moderate_consensus
DSB_030	49159743	DSB_030	49159743	49157896	49159743	396	486	0.814814814815	sd=888.491;range=1847	2	0.636363636364	moderate_consensus
DSB_031	49624080	DSB_031	49624080	49623083	49624998	486	486	1	sd=583.028;range=1915	6	1	strong_consensus
DSB_032	50085260	DSB_032	50085260	50085260	50085260	216	486	0.444444444444	sd=0;range=0	1	1	species_specific
DSB_033	50410378	DSB_033	50399584	50387655	50410378	486	486	1	sd=8876.8;range=22723	3	1	moderate_consensus
DSB_034	50989362	DSB_034	50989362	50989361	50989364	486	486	1	sd=0.818175;range=3	6	0.888888888889	strong_consensus
DSB_035	51570722	DSB_035	51570722	51570722	51570722	324	486	0.666666666667	sd=0;range=0	1	1	species_specific
DSB_036	51789124	DSB_036	51788997	51788271	51789124	486	486	1	sd=257.851;range=853	4	0.444444444444	strong_consensus
DSB_037	55393543	DSB_037	55393543	55393543	55393543	324	486	0.666666666667	sd=0;range=0	1	1	species_specific
DSB_038	55750019	DSB_038	55750019	55750019	55750019	216	486	0.444444444444	sd=0;range=0	1	1	species_specific
DSB_039	56712451	DSB_039	56712451	56712451	56712451	486	486	1	sd=0;range=0	1	1	species_specific
DSB_040	57203613	DSB_040	57203613	57203613	57204086	486	486	1	sd=196.645;range=473	2	1	moderate_consensus
DSB_041	58171516	DSB_041	58171516	58171516	58171635	486	486	1	sd=56.0971;range=119	5	1	strong_consensus
DSB_042	59982754	DSB_042	59982754	59982754	59982754	486	486	1	sd=0;range=0	3	1	moderate_consensus
DSB_043	61035423	DSB_043	61035423	61035163	61035423	486	486	1	sd=122.565;range=260	3	0.666666666667	moderate_consensus
