segment_id	start	end	length_bp	left_breakpoint_id	right_breakpoint_id
stringent_SEG_001	1	1949860	1949860	chromosome_start	DSB_002
stringent_SEG_002	1949861	9504880	7555020	DSB_002	DSB_005
stringent_SEG_003	9504881	10974030	1469150	DSB_005	DSB_006
stringent_SEG_004	10974031	19760078	8786048	DSB_006	DSB_013
stringent_SEG_005	19760079	25213019	5452941	DSB_013	DSB_014
stringent_SEG_006	25213020	25559087	346068	DSB_014	DSB_015
stringent_SEG_007	25559088	34021640	8462553	DSB_015	DSB_017
stringent_SEG_008	34021641	35025837	1004197	DSB_017	DSB_020
stringent_SEG_009	35025838	37255236	2229399	DSB_020	DSB_022
stringent_SEG_010	37255237	39237022	1981786	DSB_022	DSB_023
stringent_SEG_011	39237023	44647530	5410508	DSB_023	DSB_025
stringent_SEG_012	44647531	45658664	1011134	DSB_025	DSB_026
stringent_SEG_013	45658665	46422770	764106	DSB_026	DSB_027
stringent_SEG_014	46422771	49624080	3201310	DSB_027	DSB_031
stringent_SEG_015	49624081	50989362	1365282	DSB_031	DSB_034
stringent_SEG_016	50989363	58171516	7182154	DSB_034	DSB_041
stringent_SEG_017	58171517	91310470	33138954	DSB_041	chromosome_end
